"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Brady 2021",2021,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,13,0,7,6.25,4.8,17.57,2.99,0,0,-2.531611,-3.800776,-1.262445,0,5.489637,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,19,0,5,39.07,11.55,50.4,13.8,0,0,-0.912329,-1.937107,0.112449,0,6.672866,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,23,0,5,32.43,10.93,50.4,13.8,0,0,-1.527912,-2.587005,-0.468819,0,6.494319,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,21,0,5,40.55,15.41,50.4,13.8,0,0,-0.629486,-1.62232,0.363348,0,6.842417,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,20,0,20,7.8,11.38,7.16,10.49,0,0,0.057317,-0.562619,0.677254,0,8.968904,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,20,0,23,68.9,23.3,58.7,16.4,0,0,0.503197,-0.106347,1.112741,0,9.028516,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2015",2015,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,31,0,38,50.58,15.14,59.42,13.11,0,0,-0.62188,-1.108117,-0.135643,0,9.711087,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 1997",1997,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,10,0,8,35,14.3,58.8,11.1,0,0,-1.743951,-2.875237,-0.612665,0,6.13152,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 2005",2005,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,20,0,10,32.6,11.62,49,13.73,0,0,-1.29334,-2.129705,-0.456976,0,7.712694,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 2005",2005,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,20,0,10,30,10.44,49,13.73,0,0,-1.593702,-2.46744,-0.719963,0,7.499689,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bass 2016",2016,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, 3 months",8,0,159,0,142,1.58,0.82,1.8,0.82,0,0,-0.267619,-0.494942,-0.040296,0,67.260428,"8::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, 3 months",8,0,19,0,19,7.35,9.06,7.74,8.88,0,0,-0.042564,-0.678541,0.593413,0,8.593378,"8::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, 3 months",8,0,19,0,17,60.7,16,59.7,17.2,0,0,0.058989,-0.595502,0.71348,0,8.114068,"8::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2015",2015,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, 3 months",8,0,33,0,41,46.94,11.89,53.55,14.22,0,0,-0.494206,-0.959822,-0.02859,0,16.032126,"8::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Anderson 2010",2010,"Psychosocial interventions versus inactive control; outcome 6: Global mental health/distress, post-treatment",9,0,13,0,13,162.8,42.5,172.5,39.8,0,0,-0.228156,-0.99986,0.543547,0,35.981956,"9::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rajan 2020",2020,"Psychosocial interventions versus inactive control; outcome 6: Global mental health/distress, post-treatment",9,0,19,0,17,14.2,6,20.2,5.7,0,0,-1.001012,-1.699712,-0.302312,0,38.394762,"9::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 1997",1997,"Psychosocial interventions versus inactive control; outcome 6: Global mental health/distress, post-treatment",9,0,10,0,8,57.4,55.3,153.1,47.1,0,0,-1.757064,-2.891118,-0.62301,0,25.623282,"9::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Covers 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,22,0,20,32.1,16.89,37.95,11.26,0,0,-0.396079,-1.008126,0.215968,0,9.157079,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Feske 2008",2008,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,9,0,12,19.22,11.61,30.42,7.43,0,0,-1.141537,-2.086874,-0.1962,0,6.087045,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,5,0,14,15.4,11.09,11.07,3.97,0,0,0.646026,-0.400831,1.692883,0,5.383754,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,5,0,11,15.4,11.09,18.09,7.13,0,0,-0.300876,-1.364799,0.763048,0,5.275195,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,23,0,19,11.7,7.32,12.89,8.96,0,0,-0.144156,-0.752638,0.464326,0,9.195957,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Katz 2014",2014,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,5,0,11,47.9,22.69,49.13,23.4,0,0,-0.050127,-1.107442,1.007188,0,5.316914,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Katz 2014",2014,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,5,0,16,47.9,22.69,32.77,9.95,0,0,1.063449,-0.002248,2.129146,0,5.264066,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kelly 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,18,0,37,25,13.68,20.35,10.02,0,0,0.404809,-0.163875,0.973494,0,9.636487,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Nixon 2016",2016,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,24,0,22,36.5,31.81,45.72,27.67,0,0,-0.303018,-0.885139,0.279104,0,9.486484,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2008a",2008,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,42,0,37,34.74,27.62,31.32,37,0,0,0.104699,-0.33753,0.546929,0,11.085547,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schnurr 2007",2007,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,141,0,143,52.9,31.2,60.1,35.5,0,0,-0.214774,-0.448063,0.018516,0,13.292446,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Suris 2013",2013,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, post-treatment",1,0,52,0,34,64.97,3.27,68.84,3.61,0,0,-1.12552,-1.590825,-0.660214,0,10.819026,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Covers 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,20,0,17,22.09,16.41,23.29,17.94,0,0,-0.068555,-0.715327,0.578217,0,6.525832,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Feske 2008",2008,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,9,0,12,18.87,10.7,30.5,9.05,0,0,-1.141743,-2.087109,-0.196378,0,3.054492,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,5,0,9,10.44,8.22,12.33,9.59,0,0,-0.193243,-1.289715,0.903229,0,2.270615,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,5,0,9,10.44,8.22,16.11,9.37,0,0,-0.58959,-1.712751,0.53357,0,2.163987,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,19,0,16,11.84,9.01,15.06,13.33,0,0,-0.281356,-0.950063,0.38735,0,6.104741,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kelly 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,19,0,28,17.63,12.72,21.18,11.2,0,0,-0.295019,-0.880902,0.290865,0,7.952728,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Nixon 2016",2016,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,24,0,22,40.86,29.65,52.94,28.45,0,0,-0.408236,-0.993286,0.176814,0,7.975409,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schnurr 2007",2007,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,141,0,143,49.7,30.3,56,33.6,0,0,-0.196325,-0.429503,0.036853,0,50.2068,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Suris 2013",2013,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 3 months",2,0,52,0,34,63.96,3.26,66.35,3.47,0,0,-0.708297,-1.153944,-0.26265,0,13.745395,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 6 months",3,0,19,0,17,11.16,7.38,11.24,11.86,0,0,-0.008024,-0.662359,0.646311,0,9.750849,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Nixon 2016",2016,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 6 months",3,0,24,0,22,35.71,28.06,51.34,34.03,0,0,-0.494707,-1.082796,0.093382,0,11.717902,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2008a",2008,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 6 months",3,0,45,0,36,31.96,28.46,31.03,27.57,0,0,0.032817,-0.405475,0.471109,0,18.80402,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schnurr 2007",2007,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 6 months",3,0,141,0,143,50.4,32.7,54.5,31.7,0,0,-0.126989,-0.359837,0.105859,0,41.085136,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Suris 2013",2013,"Trauma-focused versus non trauma-focused interventions; outcome 1: PTSD symptoms, 6 months",3,0,52,0,34,59.47,3.23,61.38,3.54,0,0,-0.564167,-1.004971,-0.123363,0,18.642093,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Covers 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,21,0,20,8.48,4.06,8.95,3.76,0,0,-0.117676,-0.730634,0.495282,0,10.074471,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Feske 2008",2008,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,9,0,12,17.67,7.45,25.08,8.89,0,0,-0.855603,-1.7663,0.055095,0,7.138221,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,5,0,11,13.4,14.22,15.36,13.96,0,0,-0.132036,-1.190474,0.926403,0,6.014142,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,5,0,14,13.4,14.22,9.86,6.76,0,0,0.372237,-0.657498,1.401971,0,6.215808,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,23,0,19,5.75,4.77,10.05,8.06,0,0,-0.652949,-1.278024,-0.027875,0,9.939283,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Katz 2014",2014,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,5,0,16,14.7,8.21,10.13,5.11,0,0,0.743645,-0.291074,1.778364,0,6.180228,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Katz 2014",2014,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,5,0,11,14.7,8.21,12.55,7.78,0,0,0.257137,-0.804958,1.319232,0,5.989005,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Nixon 2016",2016,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,24,0,22,18.27,16.46,20.02,12.68,0,0,-0.116397,-0.69544,0.462646,0,10.457809,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2008a",2008,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,43,0,38,14.37,13.83,10.5,11.69,0,0,0.297787,-0.141118,0.736692,0,12.079766,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schnurr 2007",2007,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,141,0,143,17.4,12.7,19.9,11.9,0,0,-0.202651,-0.435866,0.030565,0,14.2166,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Suris 2013",2013,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, post-treatment",4,0,52,0,34,12.84,0.75,13.82,0.83,0,0,-1.241332,-1.713482,-0.769182,0,11.694668,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Covers 2021",2021,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,19,0,17,6.68,4.83,6.06,4.87,0,0,0.125024,-0.530024,0.780071,0,13.274636,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Feske 2008",2008,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,9,0,12,15.56,8.38,25.5,10.42,0,0,-0.992557,-1.918768,-0.066346,0,9.945945,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,4,0,9,6.38,7.56,10.33,11.68,0,0,-0.342934,-1.531263,0.845395,0,7.511269,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1991",1991,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,5,0,9,6.38,7.56,15.88,10.2,0,0,-0.945855,-2.114587,0.222876,0,7.667701,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,19,0,16,8.02,6.77,14.58,12.16,0,0,-0.667498,-1.352937,0.01794,0,12.865532,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Nixon 2016",2016,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,24,0,22,19.88,15.54,23.64,14.99,0,0,-0.241855,-0.822668,0.338958,0,14.298533,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schnurr 2007",2007,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,141,0,143,18.5,13.3,21.1,12.2,0,0,-0.203252,-0.436471,0.029967,0,18.761754,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Suris 2013",2013,"Trauma-focused versus non trauma-focused interventions; outcome 2: Depressive symptoms, 3 months",5,0,52,0,34,12.83,0.75,13.92,0.8,0,0,-1.402853,-1.885473,-0.920233,0,15.674631,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
