"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","double_zero","sparse_events","orcc_ok","rd_ok","recommended_method","recommendation_reason"
"CD006606_pub5_data","11::overall","11","overall","Preterm birth – low risk of bias (odds ratio, random-effects)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006606_pub5_data","12::overall","12","overall","Preterm birth – low risk of bias (risk ratio, random-effects)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006689_pub3_data","1::overall","1","overall","Maternal peripheral parasitaemia at delivery (amplification techniques)",17,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006689_pub3_data","2::overall","2","overall","Maternal peripheral parasitaemia at delivery (microscopy)",16,0,4,TRUE,TRUE,"RD","sparse_events"
"CD006689_pub3_data","3::overall","3","overall","Maternal anaemia at delivery (< 11 g/dL)",14,0,2,TRUE,TRUE,"RD","sparse_events"
"CD006689_pub3_data","4::overall","4","overall","Placental malaria (any test)",16,0,1,TRUE,TRUE,"RD","sparse_events"
"CD006689_pub3_data","5::overall","5","overall","Placental malaria (blood smear)",14,3,6,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","6::overall","6","overall","Placental malaria (amplification techniques)",13,5,6,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","7::overall","7","overall","Placental malaria (histopathologic analysis)",14,4,6,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","8::overall","8","overall","Maternal peripheral parasitaemia during pregnancy (any test)",12,7,7,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","9::overall","9","overall","Clinical malaria episodes during pregnancy",10,4,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","10::overall","10","overall","Mean haemoglobin at delivery (in g/dL)",14,6,7,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","11::overall","11","overall","Maternal severe anaemia at delivery (< 7 g/dL)",15,6,7,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","12::overall","12","overall","Low birth weight (less than 2500 g)",16,4,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","13::overall","13","overall","Mean birth weight (g)",13,7,11,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","14::overall","14","overall","Cord blood parasitaemia (blood smear)",17,4,9,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","15::overall","15","overall","Cord blood parasitaemia (loop-mediated isothermal amplification)",9,2,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","16::overall","16","overall","Prematurity",14,1,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","17::overall","17","overall","Severe adverse events during pregnancy",14,1,4,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","18::overall","18","overall","Foetal loss",12,1,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","19::overall","19","overall","Congenital malformations",11,0,3,TRUE,TRUE,"RD","sparse_events"
"CD006689_pub3_data","20::overall","20","overall","Maternal mortality",11,2,5,TRUE,TRUE,"RD","double_zero"
"CD006689_pub3_data","21::overall","21","overall","Neonatal mortality",8,0,2,TRUE,TRUE,"RD","sparse_events"
"CD006689_pub3_data","22::overall","22","overall","Undetectable viral load",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006689_pub3_data","23::overall","23","overall","Mother-to-child transmission of HIV",2,0,2,TRUE,TRUE,"RD","sparse_events"
"CD006714_pub3_data","1::overall","1","overall","Abortion completed with intended method (defined as fetal expulsion)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006714_pub3_data","2::overall","2","overall","Incomplete abortion requiring an additional procedure or intervention (immediate or delayed)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006714_pub3_data","3::overall","3","overall","Bleeding: hemorrhage requiring transfusion",3,1,2,TRUE,TRUE,"RD","double_zero"
"CD006714_pub3_data","6::overall","6","overall","Injury: cervix, vagina, uterus ",2,1,2,FALSE,TRUE,"RD","double_zero"
"CD006714_pub3_data","7::overall","7","overall","Requirement for overnight hospitalization",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006742_pub3_data","1::overall","1","overall","All-Cause Mortality",5,1,2,TRUE,TRUE,"RD","double_zero"
"CD006742_pub3_data","2::overall","2","overall","Total cardiovascular events",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD006742_pub3_data","3::overall","3","overall","Stroke",4,2,2,TRUE,TRUE,"RD","double_zero"
"CD006742_pub3_data","4::overall","4","overall","Coronary Heart Disease",3,1,1,TRUE,TRUE,"RD","double_zero"
"CD006839_pub5_data","1::1","1","1","Proportion of participants with clinical improvement in function compared to baseline",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006839_pub5_data","1::2","1","2","Proportion of participants with clinical improvement in function compared to baseline",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006839_pub5_data","3::2","3","2","Proportion of participants with deep/superficial wound infections",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD006839_pub5_data","2::overall","2","overall","Proportion of participants with hematoma/pain from scarring",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006839_pub5_data","1::overall","1","overall","Proportion of participants with clinical improvement in function at 3 months compared to baseline. Corticosteroid injection versus placebo",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006913_pub3_data","5::1","5","1","IBDQ (long-term) - psychotherapy vs care-as-usual ",10,7,7,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","5::2","5","2","IBDQ (long-term) - psychotherapy vs care-as-usual ",16,8,8,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","6::1","6","1","Quality of life (short-term), by disease activity - psychotherapy vs care-as-usual",15,12,12,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","6::2","6","2","Quality of life (short-term), by disease activity - psychotherapy vs care-as-usual",29,21,21,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","7::1","7","1","Quality of life (long-term), by disease activity - psychotherapy vs care-as-usual",10,6,6,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","7::2","7","2","Quality of life (long-term), by disease activity - psychotherapy vs care-as-usual",12,8,8,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","8::1","8","1","Quality of life (short-term), by comorbidity - psychotherapy vs care-as-usual",23,19,19,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","8::2","8","2","Quality of life (short-term), by comorbidity - psychotherapy vs care-as-usual",33,29,29,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","11::1","11","1","Quality of life (long-term), by type of therapy - psychotherapy vs care-as-usual",40,16,16,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","11::2","11","2","Quality of life (long-term), by type of therapy - psychotherapy vs care-as-usual",12,7,7,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","12::1","12","1","Quality of life (short-term), by therapy intensity - psychotherapy vs care-as-usual",53,38,38,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","12::2","12","2","Quality of life (short-term), by therapy intensity - psychotherapy vs care-as-usual",8,4,4,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","13::1","13","1","Quality of life (long-term), by therapy intensity - psychotherapy vs care-as-usual",44,20,20,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","13::2","13","2","Quality of life (long-term), by therapy intensity - psychotherapy vs care-as-usual",10,7,7,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","14::1","14","1","Quality of life (short-term), by mode of application - psychotherapy vs care-as-usual",34,33,33,FALSE,TRUE,"RD","double_zero"
"CD006913_pub3_data","15::1","15","1","Quality of life (short-term), by training of provider - psychotherapy vs care-as-usual",25,23,23,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","7::3","7","3","Failure to induce or maintain remission (long-term) - psychotherapy vs care-asusual  (ITT)",10,3,3,TRUE,TRUE,"RD","double_zero"
"CD006913_pub3_data","8::3","8","3","Failure to induce or maintain remission (long-term) - psychotherapy vs care-as-usual (PP, sensitivity analysis)",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006913_pub3_data","16::1","16","1","Failure to induce or maintain remission (long-term) (PP, sensitivity analysis) - educational intervention vs active control",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006913_pub3_data","28::1","28","1","Failure to induce or maintain remission (long-term) (ITT) - relaxation techniques vs active control",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006919_pub5_data","1::overall","1","overall","Live birth/ongoing pregnancies primary analysis",14,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006919_pub5_data","2::overall","2","overall","Live birth/ongoing pregnancies all studies",27,2,5,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","3::overall","3","overall","Clinical pregnancies primary analysis",26,10,11,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","4::overall","4","overall","Clinical pregnancies all studies",36,13,16,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","5::overall","5","overall","Number of oocytes",22,15,17,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","6::overall","6","overall","Amount of gonadotropins administered",14,10,12,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","7::overall","7","overall","Cycle cancellation",16,2,6,TRUE,TRUE,"RD","double_zero"
"CD006919_pub5_data","11::overall","11","overall","Cycle cancellation",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006942_pub4_data","1::1","1","1","Live birth or ongoing pregnancy rate per couple",8,0,3,TRUE,TRUE,"RD","sparse_events"
"CD006942_pub4_data","1::2","1","2","Live birth or ongoing pregnancy rate per couple",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006942_pub4_data","1::3","1","3","Live birth or ongoing pregnancy rate per couple",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD006942_pub4_data","2::1","2","1","Clinical pregnancy per couple",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006942_pub4_data","2::overall","2","overall","Clinical pregnancy per couple",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006942_pub4_data","3::overall","3","overall","Tubal pregnancy per couple",3,0,3,TRUE,TRUE,"RD","sparse_events"
"CD006942_pub4_data","1::overall","1","overall","Live birth or ongoing pregnancy rate per couple",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006982_pub5_data","3::overall","3","overall","Retinopathy of prematurity (any stage)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD006982_pub5_data","4::overall","4","overall","Retinopathy of prematurity (stage ≥ 3)",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007024_pub3_data","3::overall","3","overall","Continuous abstinence",22,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007024_pub3_data","4::overall","4","overall","Point abstinence",16,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007024_pub3_data","5::overall","5","overall","Dropout for any reason",26,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007024_pub3_data","6::overall","6","overall","Dropout due to adverse events",2,1,1,FALSE,TRUE,"RD","double_zero"
"CD007024_pub3_data","7::overall","7","overall","Any adverse events",2,1,2,FALSE,TRUE,"RD","double_zero"
"CD007024_pub3_data","8::overall","8","overall","Individual adverse events",19,1,4,TRUE,TRUE,"RD","double_zero"
"CD007026_pub7_data","1::overall","1","overall","All-cause death",14,0,6,TRUE,TRUE,"RD","sparse_events"
"CD007026_pub7_data","2::overall","2","overall","Non-death attrition",14,4,7,TRUE,TRUE,"RD","double_zero"
"CD007026_pub7_data","3::overall","3","overall","Total number of people with SAEs",10,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007026_pub7_data","4::overall","4","overall","Total number of people with fatal SAEs",10,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007026_pub7_data","5::overall","5","overall","Total number of people with non-fatal SAEs",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007026_pub7_data","6::overall","6","overall","Total number of people with adverse events",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007079_pub4_data","1::overall","1","overall","Preterm birth < 37 weeks' gestation",20,2,3,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","2::overall","2","overall","Preterm birth < 37 weeks' gestation by dose of calcium",20,2,5,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","3::overall","3","overall","Preterm birth < 37 weeks' gestation by started to take calcium",20,3,4,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","4::overall","4","overall","Preterm birth < 37 weeks' gestation by type of calcium",17,1,3,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","5::overall","5","overall","Preterm birth < 34 weeks' gestation",11,1,3,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","6::overall","6","overall","Maternal weight gain (g/week)",8,3,3,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","10::overall","10","overall","Maternal bone mineral density (g/cm2) – first phalanx (calcium 600 mg)",6,1,1,TRUE,TRUE,"RD","double_zero"
"CD007079_pub4_data","14::overall","14","overall","Maternal death",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007079_pub4_data","15::overall","15","overall","Mode of birth: vaginal birth",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007079_pub4_data","16::overall","16","overall","Mode of birth: instrumental vaginal birth",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007079_pub4_data","17::overall","17","overall","Mode of birth: caesarean section",8,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007110_pub4_data","1::overall","1","overall","All trials",24,17,24,TRUE,TRUE,"RD","double_zero"
"CD007110_pub4_data","2::overall","2","overall","Subgroup analysis – no interim PET vs interim PET-negative individuals only",20,15,19,TRUE,TRUE,"RD","double_zero"
"CD007110_pub4_data","3::overall","3","overall","Subgroup analysis – ABVD chemotherapy vs EBVP chemotherapy",17,14,17,TRUE,TRUE,"RD","double_zero"
"CD007130_pub5_data","1::overall","1","overall","Total mortality",14,7,10,TRUE,TRUE,"RD","double_zero"
"CD007130_pub5_data","4::overall","4","overall","Completers",26,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007130_pub5_data","11::overall","11","overall","Smoking 3 to 12 months",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007156_pub3_data","3::overall","3","overall","Difficulty in speech",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007156_pub3_data","4::overall","4","overall","Difficulty in swallowing",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","3::overall","3","overall","Need for additional dilation",18,5,6,TRUE,TRUE,"RD","double_zero"
"CD007310_pub3_data","4::overall","4","overall","Ability to complete procedure (number completed on first attempt)",14,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","5::overall","5","overall","Adverse events (pre-procedure expulsion)",22,0,12,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","6::overall","6","overall","Side effects: nausea",17,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","7::overall","7","overall","Side effects: vomiting",20,0,6,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","8::overall","8","overall","Side effects: diarrhea",16,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","9::overall","9","overall","Side effects: fever/chills",21,0,6,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","10::overall","10","overall","Complications",19,0,7,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","11::overall","11","overall","Patient acceptability and/or satisfaction",12,0,7,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","12::overall","12","overall","Pain experienced by participants between initiation of cervical preparation method and abortion procedure",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007310_pub3_data","14::overall","14","overall","Provider acceptability and/or satisfaction",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007310_pub3_data","15::overall","15","overall","Provider assessment of difficulty of procedure",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007310_pub3_data","16::overall","16","overall","Provider assessment of the procedure as very difficult",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007374_pub3_data","1::overall","1","overall","Death",8,2,6,TRUE,TRUE,"RD","double_zero"
"CD007374_pub3_data","2::overall","2","overall","HbA1c [%]",4,3,3,FALSE,TRUE,"RD","double_zero"
"CD007374_pub3_data","3::overall","3","overall","Attaining HbA1c < 6.5%",2,1,1,FALSE,TRUE,"RD","double_zero"
"CD007374_pub3_data","4::overall","4","overall","Kidney failure",3,2,3,FALSE,TRUE,"RD","double_zero"
"CD007374_pub3_data","5::overall","5","overall","Patient-oriented measures: beliefs at the end of treatment (attitude scales)",6,3,3,TRUE,TRUE,"RD","double_zero"
"CD007374_pub3_data","11::overall","11","overall","Patient-oriented measures: self-management behaviour changes at the end of treatment",7,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007374_pub3_data","17::overall","17","overall","Glycaemic events",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007374_pub3_data","18::overall","18","overall","Non-fatal cardiovascular events",6,0,4,TRUE,TRUE,"RD","sparse_events"
"CD007374_pub3_data","22::overall","22","overall","Serious adverse events: emergency hospitalisation or death (including serious hypoglycaemic and CVD events)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007388_pub3_data","1::overall","1","overall","Recurrence of convulsion",14,8,12,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","2::overall","2","overall","Maternal death",11,2,5,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","3::overall","3","overall","Maternal admission to intensive care unit",10,2,4,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","4::overall","4","overall","Caesarean section",11,1,6,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","5::overall","5","overall","Vaginal birth",13,6,8,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","6::overall","6","overall","Placental abruption",8,0,4,TRUE,TRUE,"RD","sparse_events"
"CD007388_pub3_data","7::overall","7","overall","Poor blood pressure control: non-use of antihypertensive drugs",4,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007388_pub3_data","8::overall","8","overall","Severe maternal morbidity: HELLP syndrome",4,2,4,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","9::overall","9","overall","Severe morbidity: renal failure",5,1,3,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","10::overall","10","overall","Severe morbidity: liver failure",4,1,2,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","11::overall","11","overall","Severe morbidity: coagulopathy",3,1,1,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","12::overall","12","overall","Caesarean section",5,1,1,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","13::overall","13","overall","Vaginal birth",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD007388_pub3_data","14::overall","14","overall","Placental abruption",6,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007388_pub3_data","15::overall","15","overall","Postpartum haemorrhage",4,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007388_pub3_data","16::overall","16","overall","Admission to neonatal intensive care unit",6,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007388_pub3_data","17::overall","17","overall","Neonatal respiratory morbidity: respiratory depression requiring intubation",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007569_pub4_data","1::overall","1","overall","Return to work",19,12,12,TRUE,TRUE,"RD","double_zero"
"CD007572_pub4_data","1::1","1","1","Failure to induce clinical remission (6 to 12 weeks)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","1::2","1","2","Failure to induce clinical remission (6 to 12 weeks)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","1::4","1","4","Failure to induce clinical remission (6 to 12 weeks)",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","1::5","1","5","Failure to induce clinical remission (6 to 12 weeks)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","2::1","2","1","Failure to induce clinical remission (subgroup analyses anti-TNF pre-treated vs anti-TNF naive participants)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","2::2","2","2","Failure to induce clinical remission (subgroup analyses anti-TNF pre-treated vs anti-TNF naive participants)",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","3::1","3","1","Failure to induce clinical remission (8 weeks, sensitivity analysis)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","3::2","3","2","Failure to induce clinical remission (8 weeks, sensitivity analysis)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","3::3","3","3","Failure to induce clinical remission (8 weeks, sensitivity analysis)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","4::1","4","1","Failure to induce clinical response (≥ 100 points)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","4::2","4","2","Failure to induce clinical response (≥ 100 points)",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007572_pub4_data","4::4","4","4","Failure to induce clinical response (≥ 100 points)",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","4::5","4","5","Failure to induce clinical response (≥ 100 points)",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","6::overall","6","overall","Failure to induce endoscopic remission",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","7::overall","7","overall","Failure to induce endoscopic response",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","9::overall","9","overall","Serious adverse events",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","10::overall","10","overall","Serious adverse events (8 weeks, sensitivity analysis)",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007572_pub4_data","11::overall","11","overall","Withdrawals due to adverse events",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007639_pub3_data","1::overall","1","overall","Bronchoconstriction (sidestream versus Pari LC plus)",23,22,23,FALSE,TRUE,"RD","double_zero"
"CD007639_pub3_data","2::overall","2","overall","Increased cough (Sidestream versus Pari LC plus)",22,20,21,TRUE,TRUE,"RD","double_zero"
"CD007639_pub3_data","3::overall","3","overall","Chest pain (Sidestream versus Pari LC plus)",17,15,16,TRUE,TRUE,"RD","double_zero"
"CD007639_pub3_data","4::overall","4","overall","Bronchoconstriction (CR60 versus Portaneb)",17,12,13,TRUE,TRUE,"RD","double_zero"
"CD007639_pub3_data","5::overall","5","overall","FEV1 (% predicted)",10,7,7,TRUE,TRUE,"RD","double_zero"
"CD007639_pub3_data","6::overall","6","overall","Satisfaction with device",9,7,7,TRUE,TRUE,"RD","double_zero"
"CD007639_pub3_data","11::overall","11","overall","Adverse events",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007639_pub3_data","12::overall","12","overall","FEV1: reduction over 10%",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007639_pub3_data","15::overall","15","overall","Device malfunctions",4,3,3,FALSE,TRUE,"RD","double_zero"
"CD007674_pub3_data","2::overall","2","overall","Clinical recovery or improvement",54,21,21,TRUE,TRUE,"RD","double_zero"
"CD007674_pub3_data","3::overall","3","overall","Symptoms of worry",42,34,34,TRUE,TRUE,"RD","double_zero"
"CD007674_pub3_data","4::overall","4","overall","Symptoms of depression",73,24,24,TRUE,TRUE,"RD","double_zero"
"CD007674_pub3_data","5::overall","5","overall","Dropout rates",41,18,20,TRUE,TRUE,"RD","double_zero"
"CD007674_pub3_data","8::overall","8","overall","Overall quality of life (post-treatment)",16,1,1,TRUE,TRUE,"RD","double_zero"
"CD007674_pub3_data","6::overall","6","overall","Clinical recovery or improvement - GAD versus mixed anxiety disorders",14,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007784_pub3_data","1::overall","1","overall","Major cardiovascular events",16,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","2::overall","2","overall","Death",16,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","3::overall","3","overall","Rhabdomyolysis",3,1,2,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","4::overall","4","overall","Cardiovascular death",9,1,4,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","5::overall","5","overall","Myocardial infarction",12,1,4,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","6::overall","6","overall","Stroke",8,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","7::overall","7","overall","Revascularisation procedure",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","9::overall","9","overall","Kidney failure",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","13::overall","13","overall","Elevated liver enzymes",7,3,4,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","14::overall","14","overall","Withdrawal due to adverse events",13,1,8,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","15::overall","15","overall","Cancer",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD007784_pub3_data","17::overall","17","overall","Elevated creatine kinase",7,3,7,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","22::overall","22","overall","Subgroup analysis (cardiovascular disease): death",12,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","23::overall","23","overall","Subgroup analysis (cardiovascular disease): major cardiovascular events",14,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","24::overall","24","overall","Subgroup analysis (statin dose): major cardiovascular death",14,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","25::overall","25","overall","Subgroup analysis (statin dose): death",12,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","26::overall","26","overall","Subgroup analysis (statin dose): withdrawal due to adverse events",12,1,7,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","32::overall","32","overall","Subgroup analysis (age): withdrawal due to adverse events",12,1,7,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","36::overall","36","overall","Subgroup analysis (diabetes mellitus): withdrawal due to adverse events",13,1,7,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","37::overall","37","overall","Subgroup analysis (diabetes mellitus): death",13,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","38::overall","38","overall","Subgroup analysis (diabetes mellitus): major cardiovascular death",14,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","45::overall","45","overall","Subgroup analysis (baseline cholesterol): withdrawal due to adverse events",13,1,7,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","48::overall","48","overall","Subgroup analysis (allocation concealment): death",13,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","50::overall","50","overall","Subgroup analysis (allocation concealment): major cardiovascular events",14,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","53::overall","53","overall","Sensitivity analysis (excluding SHARP): major cardiovascular events",13,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","54::overall","54","overall","Sensitivity analysis (excluding SHARP): death",12,0,3,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","55::overall","55","overall","Sensitivity analysis (funding): major cardiovascular events",5,1,1,TRUE,TRUE,"RD","double_zero"
"CD007784_pub3_data","56::overall","56","overall","Sensitivity analysis (funding): death",5,0,2,TRUE,TRUE,"RD","sparse_events"
"CD007784_pub3_data","57::overall","57","overall","Sensitivity analysis (funding): withdrawal due to adverse events",9,1,5,TRUE,TRUE,"RD","double_zero"
"CD007809_pub3_data","4::overall","4","overall","Number of participants reporting an adverse event at 12 weeks",10,9,9,FALSE,TRUE,"RD","double_zero"
