"dataset_id","analysis_id","issue"
"CD008873_pub5_data","3::9::Birth length (cm)","No usable data for effect sizes"
"CD008873_pub5_data","3::10::Head circumference at birth (cm)","No usable data for effect sizes"
"CD008873_pub5_data","3::11::Birthweight (g)","No usable data for effect sizes"
"CD008873_pub5_data","3::12::Stillbirth","No usable data for effect sizes"
"CD008873_pub5_data","3::13::Neonatal death","No usable data for effect sizes"
"CD008940_pub4_data","2::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","3::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","4::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","4::3::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","5::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","6::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","6::3::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","7::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","8::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","8::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","8::3::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","8::4::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","8::5::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","10::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","10::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","10::3::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","10::4::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","12::1::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","12::2::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","12::3::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","13::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","13::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","13::3::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","13::4::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","13::5::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","14::1::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","14::2::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","14::3::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","14::4::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","15::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","15::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","15::3::Participants experiencing severe adverse events","No usable data for effect sizes"
"CD008940_pub4_data","15::4::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","15::5::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","16::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","16::4::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","16::6::Cannabis use at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","17::1::Participants abstinent at end of treatment","No usable data for effect sizes"
"CD008940_pub4_data","17::2::Participants experiencing adverse events","No usable data for effect sizes"
"CD008940_pub4_data","17::3::Participants withdrawn due to adverse effects","No usable data for effect sizes"
"CD008940_pub4_data","17::4::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","18::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","19::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","20::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","21::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","22::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008940_pub4_data","23::1::Completion of scheduled treatment","No usable data for effect sizes"
"CD008995_pub3_data","1::1::Live birth rate","No usable data for effect sizes"
"CD008995_pub3_data","1::3::Genital tract colonization","No usable data for effect sizes"
"CD008995_pub3_data","1::4::Miscarriage","No usable data for effect sizes"
"CD009102_pub2_data","1::4::Use of adrenaline (epinephrine) in the DR","No usable data for effect sizes"
"CD009102_pub2_data","1::7::Intubation and mechanical ventilation outside the DR (during hospitalisation) ","No usable data for effect sizes"
"CD009102_pub2_data","1::10::Duration of supplemental oxygen requirement (days)","No usable data for effect sizes"
"CD009244_pub3_data","1::1::Development of anal cancer","No usable data for effect sizes"
"CD009244_pub3_data","2::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","2::2::Development of anal cancer","No usable data for effect sizes"
"CD009244_pub3_data","2::3::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","2::4::Recurrence","No usable data for effect sizes"
"CD009244_pub3_data","3::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","3::2::Development of anal cancer","No usable data for effect sizes"
"CD009244_pub3_data","3::3::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","3::4::Recurrence","No usable data for effect sizes"
"CD009244_pub3_data","4::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","4::2::Development of anal cancer","No usable data for effect sizes"
"CD009244_pub3_data","4::3::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","4::4::Recurrence","No usable data for effect sizes"
"CD009244_pub3_data","5::1::AIN HSIL eradication","No usable data for effect sizes"
"CD009244_pub3_data","5::2::Development of  anal cancer","No usable data for effect sizes"
"CD009244_pub3_data","5::3::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","6::1::AIN HSIL eradication","No usable data for effect sizes"
"CD009244_pub3_data","6::2::AIN HSIL recurrence","No usable data for effect sizes"
"CD009244_pub3_data","7::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","7::2::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","7::3::Recurrence","No usable data for effect sizes"
"CD009244_pub3_data","8::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","8::2::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","8::3::Recurrence","No usable data for effect sizes"
"CD009244_pub3_data","9::1::AIN eradication","No usable data for effect sizes"
"CD009244_pub3_data","9::2::Downgrading from AIN-III or II to AIN-I, or from HSIL to LSIL","No usable data for effect sizes"
"CD009244_pub3_data","9::3::Recurrence","No usable data for effect sizes"
"CD009252_pub2_data","4::1::Number or change in number of leakage episodes in 24 hours","No usable data for effect sizes"
"CD009252_pub2_data","4::2::Subjective symptom of cure or improvement","No usable data for effect sizes"
"CD009252_pub2_data","4::3::Satisfaction with treatment outcome","No usable data for effect sizes"
"CD009252_pub2_data","6::1::Number or change in number of leakage episodes in 24 hours","No usable data for effect sizes"
"CD009252_pub2_data","6::2::Subjective symptom of cure or improvement","No usable data for effect sizes"
"CD009298_pub3_data","1::41::Non-reassuring or pathological cardiotocograph during procedure","No usable data for effect sizes"
"CD009298_pub3_data","1::42::Non-reassuring or pathological cardiotocograph at any time after allocation","No usable data for effect sizes"
"CD009298_pub3_data","1::45::Neonatal resuscitation (positive pressure ventilation, cardiac compression or drug therapy)","No usable data for effect sizes"
"CD009298_pub3_data","1::46::Mechanical ventilation (intermittent positive-pressure ventilation/continuous positive airways pressure after resuscitation)","No usable data for effect sizes"
"CD009362_pub4_data","3::1::Pressure ulcer ","No usable data for effect sizes"
"CD009362_pub4_data","6::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","8::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","9::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","10::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","11::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","12::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","13::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","15::3::Time to pressure ulcer development","No usable data for effect sizes"
"CD009362_pub4_data","16::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","18::1::Pressure ulcer","No usable data for effect sizes"
"CD009362_pub4_data","19::1::Pressure ulcer","No usable data for effect sizes"
"CD009508_pub2_data","1::3::Subjective cure/improvement","No usable data for effect sizes"
"CD009508_pub2_data","2::4::Satisfaction","No usable data for effect sizes"
"CD009531_pub3_data","1::2::Mental state: clinically important change (binary) - 12 months ","No usable data for effect sizes"
"CD009531_pub3_data","1::3::Psychiatric hospital admissions - 12 months","No usable data for effect sizes"
"CD009531_pub3_data","2::9::Medication adherence (patient-reported) (MARS)","No usable data for effect sizes"
"CD009531_pub3_data","2::10::Social functioning (binary)","No usable data for effect sizes"
"CD009531_pub3_data","2::16::Cost of treatment","No usable data for effect sizes"
"CD009531_pub3_data","2::17::Cost of treatment (international dollars)","No usable data for effect sizes"
"CD009531_pub3_data","3::1::Mental state: clinically important change (sensitivity analysis: assumptions for attrition)","No usable data for effect sizes"
"CD009679_pub3_data","1::9::Knee range of motion (degrees) at 24 months","No usable data for effect sizes"
"CD009679_pub3_data","1::12::Length of hospital stay (days)","No usable data for effect sizes"
"CD009679_pub3_data","2::2::Knee range of motion","No usable data for effect sizes"
"CD009679_pub3_data","2::3::Operative duration (minutes)","No usable data for effect sizes"
"CD009679_pub3_data","2::4::Intraoperative blood loss (mL)","No usable data for effect sizes"
"CD009679_pub3_data","2::5::Time to radiological union (weeks)","No usable data for effect sizes"
"CD009679_pub3_data","3::4::Knee range of motion (degrees)","No usable data for effect sizes"
"CD009679_pub3_data","3::7::Incision length (cm)","No usable data for effect sizes"
"CD009679_pub3_data","4::3::Pain","No usable data for effect sizes"
"CD009679_pub3_data","4::6::Incision length (cm) ","No usable data for effect sizes"
"CD009679_pub3_data","4::7::Blood loss (mL)","No usable data for effect sizes"
"CD009679_pub3_data","5::1::Generic quality of life","No usable data for effect sizes"
"CD009679_pub3_data","5::3::Lower limb function – Lysholm Knee Score","No usable data for effect sizes"
"CD009679_pub3_data","5::5::Pain","No usable data for effect sizes"
"CD009730_pub3_data","1::1::FVC % predicted (relative change)","No usable data for effect sizes"
"CD009730_pub3_data","1::2::Weight (relative change)","No usable data for effect sizes"
"CD009730_pub3_data","2::1::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","2::2::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","4::5::Time to next exacerbation (weeks)","No usable data for effect sizes"
"CD009730_pub3_data","4::7::Adverse effects – sensitivity reaction","No usable data for effect sizes"
"CD009730_pub3_data","5::1::FEV1 (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","5::3::FEV1 % (relative change)","No usable data for effect sizes"
"CD009730_pub3_data","5::5::FVC (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","5::6::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","5::7::FVC % predicted (relative change)","No usable data for effect sizes"
"CD009730_pub3_data","5::9::Time to readmission (months)","No usable data for effect sizes"
"CD009730_pub3_data","5::11::Weight (% change)","No usable data for effect sizes"
"CD009730_pub3_data","6::3::FEV1 (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","6::5::FEV1 (litres) (relative change)","No usable data for effect sizes"
"CD009730_pub3_data","6::9::FVC (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","7::1::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","7::2::FEV1 % predicted (relative % change)","No usable data for effect sizes"
"CD009730_pub3_data","7::3::Participants experiencing an exacerbation","No usable data for effect sizes"
"CD009730_pub3_data","7::4::Antibiotic resistance","No usable data for effect sizes"
"CD009730_pub3_data","8::1::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","8::2::Time to next exacerbation (weeks)","No usable data for effect sizes"
"CD009730_pub3_data","8::3::Antibiotic resistance","No usable data for effect sizes"
"CD009730_pub3_data","9::1::FEV1 (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","9::2::FVC (millilitres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","9::4::Adverse effects","No usable data for effect sizes"
"CD009730_pub3_data","10::1::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","10::2::Adverse effects","No usable data for effect sizes"
"CD009730_pub3_data","10::3::Adverse effects – antibiotic resistance","No usable data for effect sizes"
"CD009730_pub3_data","11::1::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","11::2::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","12::1::FEV1 % predicted change from baseline after 14 days","No usable data for effect sizes"
"CD009730_pub3_data","12::2::Quality of life – number of participants achieving a minimal clinically important difference in the CFQ-R respiratory domain","No usable data for effect sizes"
"CD009730_pub3_data","13::1::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","13::2::Adverse effects","No usable data for effect sizes"
"CD009730_pub3_data","14::1::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","14::2::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","15::1::FEV1 (litres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","15::2::FVC (litres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","16::1::Proportion experiencing exacerbation 9–30 days post-treatment","No usable data for effect sizes"
"CD009730_pub3_data","16::2::Adverse effects","No usable data for effect sizes"
"CD009730_pub3_data","17::3::FEV1 (litres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","17::4::FEV1 % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","17::5::FVC (litres) (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","17::6::FVC % predicted (absolute change)","No usable data for effect sizes"
"CD009730_pub3_data","18::1::FEV1 % predicted absolute change from baseline ","No usable data for effect sizes"
"CD009730_pub3_data","18::2::FEV1 % predicted relative change from baseline","No usable data for effect sizes"
"CD009730_pub3_data","18::3::Symptom score – change in CRISS score","No usable data for effect sizes"
"CD009730_pub3_data","18::4::Change in weight (kilograms) from baseline","No usable data for effect sizes"
"CD009730_pub3_data","19::1::FEV1 % predicted absolute change from baseline ","No usable data for effect sizes"
"CD009730_pub3_data","19::2::FEV1 % predicted relative change from baseline","No usable data for effect sizes"
"CD009730_pub3_data","19::3::Symptom score – change from baseline in CRISS score","No usable data for effect sizes"
"CD009730_pub3_data","19::4::Change in weight (kilograms) from baseline","No usable data for effect sizes"
"CD009752_pub3_data","1::2::All-cause mortality: long term (31 days to two years post-surgery)","No usable data for effect sizes"
"CD009752_pub3_data","1::5::Severe adverse events: stroke","No usable data for effect sizes"
"CD009752_pub3_data","1::6::Severe adverse events: thromboembolism","No usable data for effect sizes"
"CD009752_pub3_data","1::13::Number of participants receiving any platelet transfusion","No usable data for effect sizes"
"CD009752_pub3_data","1::15::Postoperative chest drain output mL per participant","No usable data for effect sizes"
"CD009752_pub3_data","1::18::Cerebral oxygen content post surgery (rSO2)","No usable data for effect sizes"
"CD009752_pub3_data","1::19::'Peak' lactate levels (mmol/L)","No usable data for effect sizes"
"CD009752_pub3_data","2::2::All-cause mortality: long term (31 days to 2 years post-surgery)","No usable data for effect sizes"
"CD009752_pub3_data","2::3::Severe adverse events: cardiac events","No usable data for effect sizes"
"CD009752_pub3_data","2::4::Severe adverse event: thromboembolism","No usable data for effect sizes"
"CD009752_pub3_data","2::5::Severe adverse events: infection","No usable data for effect sizes"
"CD009752_pub3_data","2::6::Severe adverse events: haemorrhage (return to theatre for bleeding)","No usable data for effect sizes"
"CD009752_pub3_data","2::7::Haematocrit (%) levels postoperatively","No usable data for effect sizes"
"CD009752_pub3_data","2::8::Duration of intensive care unit stay (days)","No usable data for effect sizes"
"CD009752_pub3_data","2::9::Postoperative chest drain output (number of days of mediastinal drainage)","No usable data for effect sizes"
"CD009752_pub3_data","2::11::Lactate levels prior to cardiopulmonary bypass in prime","No usable data for effect sizes"
"CD009752_pub3_data","2::12::Lactate levels (mmol/L) in CPB circuit prime after line connection and 5 min recirculation","No usable data for effect sizes"
"CD009752_pub3_data","2::13::Lactate levels (mmol/L) at up to 15 minutes after the start of cardiopulmonary bypass","No usable data for effect sizes"
"CD009752_pub3_data","2::14::Lactate levels at 28 degrees during rewarming","No usable data for effect sizes"
"CD009752_pub3_data","2::15::Lactate levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula","No usable data for effect sizes"
"CD009752_pub3_data","2::16::Sodium (Na+) levels (mmol/L) prior to cardiopulmonary bypass in prime","No usable data for effect sizes"
"CD009752_pub3_data","2::17::Sodium (Na+) levels (mmol/L) at 36 degrees after rewarming","No usable data for effect sizes"
"CD009752_pub3_data","2::18::Sodium (Na+) levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula","No usable data for effect sizes"
"CD009752_pub3_data","2::20::Potassium (K+) levels (mmol/L) at 28 degrees during rewarming","No usable data for effect sizes"
"CD009752_pub3_data","2::21::Potassium (K+) levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula","No usable data for effect sizes"
"CD009752_pub3_data","2::23::Blood glucose levels (mg/dL) at up to 15 minutes after the start of cardiopulmonary bypass","No usable data for effect sizes"
"CD009752_pub3_data","3::1::Oxygen content post surgery CaO2 (ml dl-1)","No usable data for effect sizes"
"CD009752_pub3_data","3::2::Haematocrit (%) levels postoperatively","No usable data for effect sizes"
"CD009752_pub3_data","4::1::All-cause mortality: short term (0 to 30 days post-surgery)","No usable data for effect sizes"
"CD009752_pub3_data","4::2::Duration of mechanical ventilation (hours)","No usable data for effect sizes"
"CD009752_pub3_data","4::3::Duration of ICU stay (days)","No usable data for effect sizes"
"CD009752_pub3_data","5::1::Haematocrit (%) levels postoperatively","No usable data for effect sizes"
"CD009752_pub3_data","5::2::Duration of mechanical ventilation (hours)","No usable data for effect sizes"
"CD009752_pub3_data","5::3::Duration of intensive care unit stay","No usable data for effect sizes"
"CD009752_pub3_data","5::4::Lactate levels (mmol/L at up to 15 minutes after the start of cardiopulmonary bypass","No usable data for effect sizes"
"CD009752_pub3_data","5::5::Lactate levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula","No usable data for effect sizes"
"CD009752_pub3_data","6::1::All-cause mortality: short term (0 to 30 days post-surgery)","No usable data for effect sizes"
"CD009752_pub3_data","6::2::Severe adverse events: acute lung injury","No usable data for effect sizes"
"CD009752_pub3_data","6::3::Severe adverse events: renal failure (creatinine increasing at least twofold within 72 hours of surgery) ","No usable data for effect sizes"
"CD009752_pub3_data","7::1::Duration of mechanical ventilation (hours)","No usable data for effect sizes"
"CD009752_pub3_data","7::2::Duration of intensive care unit stay (days)","No usable data for effect sizes"
"CD009788_pub3_data","1::3::Satisfaction with care: clinically important change in satisfaction","No usable data for effect sizes"
"CD009788_pub3_data","1::4::Global state (secondary outcomes)","No usable data for effect sizes"
"CD009788_pub3_data","1::5::Service use: number of hospitalizations","No usable data for effect sizes"
"CD009788_pub3_data","1::6::Service use: time in hospital (days)","No usable data for effect sizes"
"CD009945_pub3_data","1::3::Any adverse effects","No usable data for effect sizes"
"CD010001_pub4_data","2::1::Live birth or ongoing pregnancy","No usable data for effect sizes"
"CD010001_pub4_data","2::6::Other adverse effects","No usable data for effect sizes"
"CD010136_pub4_data","1::1::Swelling at 7 days","No usable data for effect sizes"
"CD010136_pub4_data","1::2::Number of participants who required ibuprofen","No usable data for effect sizes"
"CD010136_pub4_data","2::4::Pain at 7 days","No usable data for effect sizes"
"CD010136_pub4_data","2::8::Swelling at 7 days","No usable data for effect sizes"
"CD010136_pub4_data","2::9::Percussion pain at 24 hours","No usable data for effect sizes"
"CD010136_pub4_data","2::10::Percussion pain at 48 hours","No usable data for effect sizes"
"CD010136_pub4_data","2::11::Percussion pain at 72 hours","No usable data for effect sizes"
"CD010136_pub4_data","2::12::Percussion pain at 7 days","No usable data for effect sizes"
"CD010136_pub4_data","2::13::Incidence of endodontic flare-up","No usable data for effect sizes"
"CD010136_pub4_data","2::14::Total number of ibuprofen tablets","No usable data for effect sizes"
"CD010136_pub4_data","2::15::Total number of paracetamol (acetaminophen) with codeine tablets","No usable data for effect sizes"
"CD010145_pub2_data","1::1::Quality of life via FACT (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::2::Change in quality of life after treatment via QLQ-C30 (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::3::Change in quality of life after treatment via QLI (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::4::Quality of life via FACT (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","1::5::Change in sleep after treatment via PSQI (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::6::Adverse event (headache)","No usable data for effect sizes"
"CD010145_pub2_data","1::8::Adverse event (nausea)","No usable data for effect sizes"
"CD010145_pub2_data","1::12::Two-year disease-free survival (DFS) rate","No usable data for effect sizes"
"CD010145_pub2_data","1::13::Five-year disease-free survival (DFS) rate","No usable data for effect sizes"
"CD010145_pub2_data","1::14::Tumour complete response rate (CR) (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::15::Tumour partial response rate (PR) (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::16::Tumour stable disease rate (SD) (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::17::Tumour progressive disease rate (PD) (short term)","No usable data for effect sizes"
"CD010145_pub2_data","1::18::Positive tumour response rate (CR + PR) (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","1::19::Negative tumour response rate (SD + PD) (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","2::1::Improvement in quality of life via Karnofsky's score","No usable data for effect sizes"
"CD010145_pub2_data","2::7::Five-year survival rate","No usable data for effect sizes"
"CD010145_pub2_data","2::9::One-year disease-free survival (DFS) rate","No usable data for effect sizes"
"CD010145_pub2_data","2::10::Tumour complete response rate (CR) defined by RECIST (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","2::11::Tumour partial response rate (PR) defined by RECIST (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","2::12::Tumour stable disease rate (SD) defined by RECIST (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","2::13::Tumour progressive disease rate (PD) defined by RECIST (intermediate term)","No usable data for effect sizes"
"CD010145_pub2_data","2::14::Tumour complete response rate (CR) defined by RECIST (long term)","No usable data for effect sizes"
"CD010145_pub2_data","2::15::Tumour partial response rate (PR) defined by RECIST (long term)","No usable data for effect sizes"
"CD010145_pub2_data","2::16::Tumour stable disease rate (SD) defined by RECIST (long term)","No usable data for effect sizes"
"CD010145_pub2_data","2::17::Tumour progressive disease rate (PD) defined by RECIST (long term)","No usable data for effect sizes"
"CD010145_pub2_data","3::2::Incidence of anaemia at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::3::Incidence of neutropenia at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::4::Incidence of nausea at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::5::Incidence of vomiting at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::6::Incidence of anorexia at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::7::Incidence of renal failure at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::8::Incidence of oral mucositis at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::9::Incidence of cheilitis at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::10::Incidence of radiation skin injury at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::12::Incidence of allergies at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::13::Incidence of pneumonia at least grade 3","No usable data for effect sizes"
"CD010145_pub2_data","3::14::Incidence of asthenia at least grade 3","No usable data for effect sizes"
"CD010163_pub3_data","1::1::Tumour response","No usable data for effect sizes"
"CD010163_pub3_data","2::1::All-cause mortality at 2-year follow-up","No usable data for effect sizes"
"CD010163_pub3_data","2::2::Any adverse events or complications","No usable data for effect sizes"
"CD010216_pub9_data","1::8::3-HPMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::9::NNAL (pmol/mg creatinine))","No usable data for effect sizes"
"CD010216_pub9_data","1::10::2-HPMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::11::HMPMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::12::PheT (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::13::CEMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::14::AAMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","1::17::PEF (L/min)","No usable data for effect sizes"
"CD010216_pub9_data","2::1::Smoking cessation","No usable data for effect sizes"
"CD010216_pub9_data","2::2::Serious adverse events","No usable data for effect sizes"
"CD010216_pub9_data","3::1::Adverse events at 12 weeks","No usable data for effect sizes"
"CD010216_pub9_data","3::2::SAEs at 12 weeks","No usable data for effect sizes"
"CD010216_pub9_data","3::3::Carbon monoxide (ppm) absolute values at 12 weeks","No usable data for effect sizes"
"CD010216_pub9_data","3::4::VO2 Max at 12 weeks","No usable data for effect sizes"
"CD010216_pub9_data","4::5::Heart rate","No usable data for effect sizes"
"CD010216_pub9_data","4::6::Systolic blood pressure","No usable data for effect sizes"
"CD010216_pub9_data","4::7::FeNO (ppb)","No usable data for effect sizes"
"CD010216_pub9_data","4::8::FEV1 (l)","No usable data for effect sizes"
"CD010216_pub9_data","4::9::FEV1/FVC","No usable data for effect sizes"
"CD010216_pub9_data","5::5::Heart rate (bpm)","No usable data for effect sizes"
"CD010216_pub9_data","5::7::Blood oxygen saturation","No usable data for effect sizes"
"CD010216_pub9_data","5::10::2-HPMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","5::11::HMPMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","5::12::PheT (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","5::13::CEMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","5::14::AAMA (pmol/mg creatinine)","No usable data for effect sizes"
"CD010216_pub9_data","5::15::S-PMA (nanograms)","No usable data for effect sizes"
"CD010216_pub9_data","5::18::PEF 25-75 (litres/minute)","No usable data for effect sizes"
"CD010216_pub9_data","5::19::FEV1/FVC","No usable data for effect sizes"
"CD010216_pub9_data","6::1::Smoking cessation","No usable data for effect sizes"
"CD010216_pub9_data","6::2::Adverse events at 1 week","No usable data for effect sizes"
"CD010216_pub9_data","6::5::Heart rate","No usable data for effect sizes"
"CD010216_pub9_data","6::6::Systolic blood pressure","No usable data for effect sizes"
"CD010216_pub9_data","6::7::FeNO (ppb)","No usable data for effect sizes"
"CD010216_pub9_data","6::8::FEV1 (l)","No usable data for effect sizes"
"CD010216_pub9_data","6::9::FVC (l)","No usable data for effect sizes"
"CD010216_pub9_data","6::10::FEV1/FVC","No usable data for effect sizes"
