"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","method_orig","method_fix","method_changed","chosen_effect_orig","chosen_effect_fix","chosen_ci_lb_orig","chosen_ci_ub_orig","chosen_ci_lb_fix","chosen_ci_ub_fix","sparse_events","double_zero","effect_delta"
"CD004953_pub5_data","4::overall",4,"overall","Rate of mechanical ventilation","RD","RD",FALSE,-0.028698878091387,-0.028698878091387,-0.0858476016811412,0.0284498454983673,-0.0858476016811412,0.0284498454983673,4,2,0
"CD004953_pub5_data","5::1",5,"1","Chronic lung disease","RD","RD",FALSE,-0.0110239064755027,-0.0110239064755027,-0.0769024620754025,0.0548546491243971,-0.0769024620754025,0.0548546491243971,2,0,0
"CD004953_pub5_data","5::2",5,"2","Chronic lung disease","RD","RD",FALSE,-0.1214692943489,-0.1214692943489,-0.326264785982408,0.0833261972846083,-0.326264785982408,0.0833261972846083,2,1,0
"CD004953_pub5_data","6::overall",6,"overall","Pneumothorax during hospitalisation","RD","RD",FALSE,0.00378972371786655,0.00378972371786655,-0.0229426709806461,0.0305221184163792,-0.0229426709806461,0.0305221184163792,5,0,0
"CD004953_pub5_data","7::1",7,"1","Cranial ultrasound abnormalities","RD","RD",FALSE,-0.00952987321654618,-0.00952987321654618,-0.0493536005665317,0.0302938541334394,-0.0493536005665317,0.0302938541334394,4,1,0
"CD004953_pub5_data","7::2",7,"2","Cranial ultrasound abnormalities","RD","RD",FALSE,-0.0093696574930193,-0.0093696574930193,-0.0655526589500236,0.046813343963985,-0.0655526589500236,0.046813343963985,2,0,0
"CD004953_pub5_data","7::3",7,"3","Cranial ultrasound abnormalities","RD","RD",FALSE,-0.0148421017508197,-0.0148421017508197,-0.037870087296018,0.00818588379437859,-0.037870087296018,0.00818588379437859,4,0,0
"CD004953_pub5_data","8::1",8,"1","Endotracheal intubation","RD","RD",FALSE,-0.0823356108459983,-0.0823356108459983,-0.167599416323343,0.00292819463134616,-0.167599416323343,0.00292819463134616,1,1,0
"CD004953_pub5_data","8::2",8,"2","Endotracheal intubation","RD","RD",FALSE,-0.0166276343699382,-0.0166276343699382,-0.102397538571498,0.0691422698316218,-0.102397538571498,0.0691422698316218,2,0,0
"CD004953_pub5_data","8::overall",8,"overall","Retinopathy of prematurity (ROP) stage ≥ 3","OR_cc","RD",TRUE,-1.41598159027911,NA,-4.01716967673935,1.18520649618112,NA,NA,2,1,NA
"CD004953_pub5_data","9::1",9,"1","Surfactant administration","RD","RD",FALSE,0.0300965845213604,0.0300965845213604,-0.0394482507056065,0.0996414197483272,-0.0394482507056065,0.0996414197483272,1,1,0
"CD004953_pub5_data","9::2",9,"2","Surfactant administration","RD","RD",FALSE,0.0189229827587695,0.0189229827587695,-0.0143475291433226,0.0521934946608617,-0.0143475291433226,0.0521934946608617,1,1,0
"CD004992_pub4_data","1::overall",1,"overall","Recurrence of pelvic pain","OR_cc","OR_cc",FALSE,-1.87505085379661,-1.87505085379661,-2.58077992049858,-1.16932178709465,-2.58077992049858,-1.16932178709465,0,0,0
"CD004992_pub4_data","2::overall",2,"overall","Recurrence of endometrioma","RD","RD",FALSE,-0.244883431366403,-0.244883431366403,-0.386243308129982,-0.103523554602823,-0.386243308129982,-0.103523554602823,1,0,0
"CD004992_pub4_data","3::overall",3,"overall","Requirement for further endometrioma surgery","OR_cc","OR_cc",FALSE,-1.61614048992132,-1.61614048992132,-3.05782414181736,-0.174456838025279,-3.05782414181736,-0.174456838025279,0,0,0
"CD004992_pub4_data","4::overall",4,"overall","Spontaneous pregnancy rate over the 12 months after surgery","RD","RD",FALSE,0.0372594171611463,0.0372594171611463,-0.149041045784287,0.22355988010658,-0.149041045784287,0.22355988010658,1,0,0
"CD004992_pub4_data","5::overall",5,"overall","Serum anti-Müllerian hormone levels (ng/mL) three months after surgery (short term)","OR_cc","RD",TRUE,0,NA,-2.28069868794225,2.28069868794225,NA,NA,3,3,NA
"CD004992_pub4_data","6::overall",6,"overall","Serum anti-Müllerian hormone levels (ng/mL) six months after surgery","OR_cc","RD",TRUE,0,NA,-2.81091130400289,2.81091130400289,NA,NA,2,2,NA
"CD004992_pub4_data","7::overall",7,"overall","Antral follicle count (number of follicles) six months after surgery","OR_cc","RD",TRUE,0,NA,-2.29058878892444,2.29058878892444,NA,NA,3,3,NA
"CD004992_pub4_data","8::overall",8,"overall","Ovarian volume (cm3) six months after surgery","OR_cc","RD",TRUE,0,NA,-2.29058878892444,2.29058878892444,NA,NA,3,3,NA
"CD005133_pub4_data","1::overall",1,"overall","All symptomatic CMV disease","RD","RD",FALSE,-0.082399938085971,-0.082399938085971,-0.161379424015996,-0.00342045215594622,-0.161379424015996,-0.00342045215594622,6,4,0
"CD005133_pub4_data","10::overall",10,"overall","Low-risk recipients: D+ or D-/R+ serostatus","RD","RD",FALSE,0.152880506490205,0.152880506490205,-0.110226540691495,0.415987553671905,-0.110226540691495,0.415987553671905,2,0,0
"CD005133_pub4_data","2::overall",2,"overall","Death (any cause)","RD","RD",FALSE,0.00297128076956056,0.00297128076956056,-0.0133515675232745,0.0192941290623956,-0.0133515675232745,0.0192941290623956,9,2,0
"CD005133_pub4_data","3::overall",3,"overall","CMV organ involvement","RD","RD",FALSE,0.112188572684518,0.112188572684518,0.0206002723750728,0.203776872993964,0.0206002723750728,0.203776872993964,17,1,0
"CD005133_pub4_data","4::overall",4,"overall","CMV-associated symptoms","RD","RD",FALSE,-0.0320503501137118,-0.0320503501137118,-0.126149548551101,0.0620488483236777,-0.126149548551101,0.0620488483236777,2,0,0
"CD005133_pub4_data","5::overall",5,"overall","Acute rejection","RD","RD",FALSE,0.015285268972603,0.015285268972603,-0.00504603950247505,0.035616577447681,-0.00504603950247505,0.035616577447681,3,0,0
"CD005133_pub4_data","6::overall",6,"overall","Other infections","RD","RD",FALSE,-0.0350853452173163,-0.0350853452173163,-0.105299586433329,0.0351288959986964,-0.105299586433329,0.0351288959986964,1,0,0
"CD005133_pub4_data","7::overall",7,"overall","Graft loss","RD","RD",FALSE,0.000376463472712859,0.000376463472712859,-0.0456701211321388,0.0464230480775646,-0.0456701211321388,0.0464230480775646,7,0,0
"CD005133_pub4_data","8::overall",8,"overall","Adverse events","RD","RD",FALSE,-0.00780450238543387,-0.00780450238543387,-0.0228951107459063,0.00728610597503855,-0.0228951107459063,0.00728610597503855,22,0,0
"CD005133_pub4_data","9::overall",9,"overall","High-risk recipients: D+/R- serostatus","RD","RD",FALSE,0.0686251120502512,0.0686251120502512,-0.146491950164613,0.283742174265115,-0.146491950164613,0.283742174265115,2,0,0
"CD005187_pub6_data","1::overall",1,"overall","Influenza","RD","RD",FALSE,-0.000224108123013381,-0.000224108123013381,-0.0212909398742566,0.0208427236282298,-0.0212909398742566,0.0208427236282298,1,0,0
"CD005187_pub6_data","2::overall",2,"overall","Lower respiratory tract infection","OR_cc","OR_cc",FALSE,-0.369453864617535,-0.369453864617535,-0.859075726387025,0.120167997151955,-0.859075726387025,0.120167997151955,0,0,0
"CD005187_pub6_data","3::overall",3,"overall","Admission to hospital for respiratory illness","OR_cc","OR_cc",FALSE,0.0256070180149276,0.0256070180149276,-0.168395964333132,0.219610000362987,-0.168395964333132,0.219610000362987,0,0,0
"CD005187_pub6_data","4::overall",4,"overall","Deaths from lower respiratory tract infection ","OR_cc","OR_cc",FALSE,-0.193051439968565,-0.193051439968565,-0.641517327637778,0.255414447700648,-0.641517327637778,0.255414447700648,0,0,0
"CD005187_pub6_data","5::overall",5,"overall","Death from any cause","OR_cc","OR_cc",FALSE,-0.412924044656988,-0.412924044656988,-0.543533838193233,-0.282314251120743,-0.543533838193233,-0.282314251120743,0,0,0
"CD005343_pub7_data","1::overall",1,"overall","Overall survival","OR_cc","RD",TRUE,-0.0103543921817965,NA,-1.97335908928459,1.952650304921,NA,NA,4,4,NA
"CD005343_pub7_data","10::overall",10,"overall","EORTC QLQ-C30 QoL at 6 months; symptoms","OR_cc","RD",TRUE,0.0201518190972461,NA,-0.962853790720497,1.00315742891499,NA,NA,16,16,NA
"CD005343_pub7_data","11::overall",11,"overall","EORTC QLQ-C30 QoL at 12 months; functional status","OR_cc","RD",TRUE,0.0412000018517346,NA,-0.974757812744201,1.05715781644767,NA,NA,15,15,NA
"CD005343_pub7_data","12::overall",12,"overall","EORTC QLQ-C30 QoL at 12 months; symptoms","OR_cc","RD",TRUE,0.0494769072462869,NA,-0.934224302988489,1.03317811748106,NA,NA,16,16,NA
"CD005343_pub7_data","13::overall",13,"overall","EORTC QLQ OV-28 score at 6 months","OR_cc","RD",TRUE,-0.0916671885258235,NA,-1.48286174333837,1.29952736628672,NA,NA,8,8,NA
"CD005343_pub7_data","14::overall",14,"overall","EORTC QLQ OV-28 score 12 months","OR_cc","RD",TRUE,-0.0976384695639156,NA,-1.48917802822814,1.29390108910031,NA,NA,8,8,NA
"CD005343_pub7_data","15::overall",15,"overall","Chemotherapy-related G3+AEs","OR_cc","OR_cc",FALSE,-0.130612753751513,-0.130612753751513,-0.568834322146317,0.30760881464329,-0.568834322146317,0.30760881464329,0,0,0
"CD005343_pub7_data","2::overall",2,"overall","Overall survival by age","OR_cc","RD",TRUE,-0.06052619664919,NA,-1.31038186977528,1.1893294764769,NA,NA,10,10,NA
"CD005343_pub7_data","3::overall",3,"overall","Overall survival by stage","OR_cc","RD",TRUE,-0.00374435461649961,NA,-1.60844674517625,1.60095803594325,NA,NA,6,6,NA
"CD005343_pub7_data","4::overall",4,"overall","Overall survival by residual disease","OR_cc","RD",TRUE,-0.137241474041744,NA,-1.45216011735332,1.17767716926983,NA,NA,9,9,NA
"CD005343_pub7_data","5::overall",5,"overall","Progression-free survival","OR_cc","RD",TRUE,-0.0103543921817965,NA,-1.97335908928459,1.952650304921,NA,NA,4,4,NA
"CD005343_pub7_data","6::overall",6,"overall","Postoperative mortality","RD","RD",FALSE,-0.0241555852045891,-0.0241555852045891,-0.0436065564331071,-0.00470461397607114,-0.0436065564331071,-0.00470461397607114,2,0,0
"CD005343_pub7_data","7::overall",7,"overall","Surgically-related adverse effects (G3+)","RD","RD",FALSE,-0.0269360479683255,-0.0269360479683255,-0.0429316353732223,-0.0109404605634287,-0.0429316353732223,-0.0109404605634287,12,1,0
"CD005343_pub7_data","8::overall",8,"overall","Surgical resection","RD","RD",FALSE,-0.219846953309199,-0.219846953309199,-0.388159771999616,-0.0515341346187824,-0.388159771999616,-0.0515341346187824,1,0,0
"CD005343_pub7_data","9::overall",9,"overall","EORTC QLQ-C30 QoL at 6 months: functional status","OR_cc","RD",TRUE,0.0120629513981971,NA,-1.00312760864111,1.02725351143751,NA,NA,15,15,NA
"CD005495_pub5_data","1::overall",1,"overall","Cognitive outcome in infancy - Developmental Quotient","OR_cc","RD",TRUE,-0.07334444069067,NA,-0.452012957578401,0.305324076197061,NA,NA,110,110,NA
"CD005495_pub5_data","2::overall",2,"overall","Cognitive outcome at preschool age - Intelligence Quotient ","OR_cc","RD",TRUE,0.028069562539189,NA,-0.543501423570164,0.599640548648542,NA,NA,44,44,NA
"CD005495_pub5_data","3::overall",3,"overall","Cognitive outcome at school age - Intelligence Quotient ","OR_cc","RD",TRUE,9.40100846114709e-05,NA,-0.803575211480851,0.803763231650074,NA,NA,24,24,NA
"CD005495_pub5_data","4::overall",4,"overall","Motor outcome in infancy - Developmental Quotient","OR_cc","RD",TRUE,-0.0531911948890376,NA,-0.467576122798929,0.361193733020854,NA,NA,92,92,NA
"CD005495_pub5_data","5::overall",5,"overall","Motor outcome at preschool age ","OR_cc","RD",TRUE,-0.0138097947574052,NA,-1.15378370062745,1.12616411111264,NA,NA,12,12,NA
"CD005495_pub5_data","6::overall",6,"overall","Motor outcome at school age ","OR_cc","RD",TRUE,-0.136070447188771,NA,-1.27517333599024,1.0030324416127,NA,NA,12,12,NA
"CD005495_pub5_data","7::overall",7,"overall","Motor outcome at school age ","OR_cc","OR_cc",FALSE,0.0702469379198909,0.0702469379198909,-0.139377655814923,0.279871531654705,-0.139377655814923,0.279871531654705,0,0,0
"CD005495_pub5_data","8::overall",8,"overall","Rate of cerebral palsy","RD","RD",FALSE,-0.0239807973078891,-0.0239807973078891,-0.0394174262426716,-0.00854416837310656,-0.0394174262426716,-0.00854416837310656,5,0,0
"CD005566_pub4_data","1::overall",1,"overall","Mortality, including 'no major complications'","RD","RD",FALSE,-0.00239562310669231,-0.00239562310669231,-0.00443699873632608,-0.000354247477058539,-0.00443699873632608,-0.000354247477058539,82,0,0
"CD005566_pub4_data","10::overall",10,"overall","ICU stay (hours)","OR_cc","RD",TRUE,0.0104605059201231,NA,-0.715154887121821,0.736075898962067,NA,NA,30,30,NA
"CD005566_pub4_data","11::overall",11,"overall","Hospital stay (days)","OR_cc","RD",TRUE,0.0140439084102888,NA,-0.778891512061296,0.806979328881873,NA,NA,25,25,NA
"CD005566_pub4_data","2::overall",2,"overall","Cardiac complications, including 'no major complications'","RD","RD",FALSE,0.00194394961143524,0.00194394961143524,-0.000374855595181499,0.00426275481805198,-0.000374855595181499,0.00426275481805198,71,0,0
"CD005566_pub4_data","3::overall",3,"overall","Pulmonary complications, including 'no major complications'","RD","RD",FALSE,-0.00847208481022254,-0.00847208481022254,-0.0123764576104575,-0.0045677120099876,-0.0123764576104575,-0.0045677120099876,44,0,0
"CD005566_pub4_data","4::overall",4,"overall","Re-thoracotomy","RD","RD",FALSE,-0.0677809775068641,-0.0677809775068641,-0.0907108574472022,-0.0448510975665261,-0.0907108574472022,-0.0448510975665261,21,0,0
"CD005566_pub4_data","5::overall",5,"overall","Neurological complication (stroke)","RD","RD",FALSE,-0.00278398300789105,-0.00278398300789105,-0.00755504307298525,0.00198707705720315,-0.00755504307298525,0.00198707705720315,23,0,0
"CD005566_pub4_data","6::overall",6,"overall","Renal failure","RD","RD",FALSE,-0.0057640490847217,-0.0057640490847217,-0.011781906574667,0.000253808405223602,-0.011781906574667,0.000253808405223602,105,96,0
"CD005566_pub4_data","7::overall",7,"overall","Inotropic support","RD","RD",FALSE,-0.0293032278173893,-0.0293032278173893,-0.0934290769426032,0.0348226213078245,-0.0934290769426032,0.0348226213078245,89,85,0
"CD005566_pub4_data","8::overall",8,"overall","Postoperative bleeding (mL)","OR_cc","RD",TRUE,0.0150483868520566,NA,-0.428134050489126,0.45823082419324,NA,NA,80,80,NA
"CD005566_pub4_data","9::overall",9,"overall","Mechanical ventilation time (minutes)","OR_cc","RD",TRUE,0.00395169442436464,NA,-0.698196045945506,0.706099434794236,NA,NA,32,32,NA
"CD005582_pub5_data","1::overall",1,"overall","The presence of PHN six months after the onset of acute herpetic rash","RD","RD",FALSE,-0.00254537251312657,-0.00254537251312657,-0.143533868443591,0.138443123417338,-0.143533868443591,0.138443123417338,1,0,0
"CD005582_pub5_data","3::overall",3,"overall","Serious adverse events","RD","RD",FALSE,0.0079842827088711,0.0079842827088711,-0.008612791078609,0.0245813564963512,-0.008612791078609,0.0245813564963512,5,2,0
"CD005582_pub5_data","4::overall",4,"overall","Non-serious adverse events","RD","RD",FALSE,0.0216516300947242,0.0216516300947242,-0.0281908648442761,0.0714941250337245,-0.0281908648442761,0.0714941250337245,3,1,0
"CD005595_pub4_data","1::overall",1,"overall","Activity limitation (using OMAS; at the end of treatment)","OR_cc","RD",TRUE,-0.0380897350909046,NA,-0.847740433248624,0.771560963066815,NA,NA,24,24,NA
"CD005595_pub4_data","10::overall",10,"overall","Adverse events","RD","RD",FALSE,0.00135697063735067,0.00135697063735067,-0.00114621825971146,0.0038601595344128,-0.00114621825971146,0.0038601595344128,44,23,0
"CD005595_pub4_data","11::overall",11,"overall","Adverse events (after surgical fracture management)","RD","RD",FALSE,0.00748675919020367,0.00748675919020367,-0.000918026447636345,0.0158915448280437,-0.000918026447636345,0.0158915448280437,39,14,0
"CD005595_pub4_data","12::overall",12,"overall","Adverse events (after non-surgical fracture management)","RD","RD",FALSE,-0.00932011576807357,-0.00932011576807357,-0.0168895485549436,-0.00175068298120357,-0.0168895485549436,-0.00175068298120357,33,3,0
"CD005595_pub4_data","13::overall",13,"overall","Adverse events (after initial fracture management period after either surgical or non-surgical treatment)","RD","RD",FALSE,-0.00697240782050058,-0.00697240782050058,-0.0232556406513356,0.0093108250103344,-0.0232556406513356,0.0093108250103344,4,1,0
"CD005595_pub4_data","2::overall",2,"overall","Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)","RD","RD",FALSE,0.0228545005551483,0.0228545005551483,-0.031682558644748,0.0773915597550446,-0.031682558644748,0.0773915597550446,27,25,0
"CD005595_pub4_data","3::overall",3,"overall","Activity limitation (using different measurement tools; long-term follow-up, > 6 months)","OR_cc","RD",TRUE,-0.0166467209589841,NA,-0.976007009352457,0.942713567434489,NA,NA,17,17,NA
"CD005595_pub4_data","4::overall",4,"overall","HRQoL (using different measurement tools; at end of treatment)","OR_cc","RD",TRUE,0.264490127537842,NA,-0.855031555373483,1.38401181044917,NA,NA,11,10,NA
"CD005595_pub4_data","5::overall",5,"overall","HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)","OR_cc","RD",TRUE,-0.0280399547197493,NA,-1.04641701501312,0.990337105573617,NA,NA,15,15,NA
"CD005595_pub4_data","6::overall",6,"overall","HRQoL (using different measurement tools; long-term follow-up, > 6 months)","OR_cc","RD",TRUE,-0.0768392701664608,NA,-1.26582128726838,1.11214274693546,NA,NA,11,11,NA
"CD005595_pub4_data","7::overall",7,"overall","Participant satisfaction (VAS, /10; end of treatment, and short-term follow-up of ≤ 6 months)","OR_cc","RD",TRUE,-0.122877307751888,NA,-1.61402123385202,1.36826661834824,NA,NA,7,7,NA
"CD005595_pub4_data","8::overall",8,"overall","Pain (VAS; end of treatment)","RD","RD",FALSE,-0.330251083632554,-0.330251083632554,-0.610885934390399,-0.049616232874708,-0.610885934390399,-0.049616232874708,7,7,0
"CD005595_pub4_data","9::overall",9,"overall","Pain (VAS; short-term follow-up, ≤ 6 months)","OR_cc","RD",TRUE,-0.101871014567487,NA,-1.35086320989875,1.14712118076377,NA,NA,10,10,NA
"CD005951_pub5_data","1::overall",1,"overall","Death or dependence (mRS 4–6) at day 90","OR_cc","OR_cc",FALSE,-0.0333101225083382,-0.0333101225083382,-0.297749827731648,0.231129582714971,-0.297749827731648,0.231129582714971,0,0,0
"CD005951_pub5_data","11::overall",11,"overall","Barthel Index","OR_cc","RD",TRUE,-0.323172171081233,NA,-3.1253317636718,2.47898742150933,NA,NA,2,2,NA
"CD005951_pub5_data","2::overall",2,"overall","Intracerebral haemorrhage expansion by 24 hours","RD","RD",FALSE,-0.0464324272194671,-0.0464324272194671,-0.0944568293489188,0.00159197490998465,-0.0944568293489188,0.00159197490998465,2,0,0
"CD005951_pub5_data","3::overall",3,"overall","All serious adverse events","RD","RD",FALSE,0.0117259832821823,0.0117259832821823,-0.0812007175386834,0.104652684103048,-0.0812007175386834,0.104652684103048,3,1,0
"CD005951_pub5_data","4::overall",4,"overall","Thromboembolic adverse events","RD","RD",FALSE,0.0120245564185956,0.0120245564185956,-0.000537052348173972,0.0245861651853652,-0.000537052348173972,0.0245861651853652,8,1,0
"CD005951_pub5_data","5::overall",5,"overall","Death from any cause by day 90","RD","RD",FALSE,-0.00883735224617096,-0.00883735224617096,-0.0264982201029917,0.00882351561064982,-0.0264982201029917,0.00882351561064982,4,2,0
"CD005951_pub5_data","6::overall",6,"overall","Death or dependence (Extended Glasgow Outcome Scale (GOS-E) 1–4) at day 90","OR_cc","OR_cc",FALSE,-0.258853401184991,-0.258853401184991,-0.501779033305092,-0.0159277690648904,-0.501779033305092,-0.0159277690648904,0,0,0
"CD005951_pub5_data","7::overall",7,"overall","Quality of life (EuroQoL health utility score)","OR_cc","RD",TRUE,-0.323172171081233,NA,-3.1253317636718,2.47898742150933,NA,NA,2,2,NA
"CD005951_pub5_data","8::overall",8,"overall","Mood (Zung Depression Scale)","OR_cc","RD",TRUE,-0.323172171081233,NA,-3.1253317636718,2.47898742150933,NA,NA,2,2,NA
"CD006023_pub4_data","1::1",1,"1","Death (all causes): age","RD","RD",FALSE,-0.0548350554592257,-0.0548350554592257,-0.130997693151628,0.0213275822331769,-0.130997693151628,0.0213275822331769,6,2,0
"CD006023_pub4_data","1::2",1,"2","Death (all causes): age","RD","RD",FALSE,-0.0555945225633401,-0.0555945225633401,-0.104746513927748,-0.00644253119893264,-0.104746513927748,-0.00644253119893264,15,10,0
"CD006023_pub4_data","1::overall",1,"overall","Death (all causes)","RD","RD",FALSE,-0.0147838943208376,-0.0147838943208376,-0.0272186558053793,-0.00234913283629579,-0.0272186558053793,-0.00234913283629579,63,24,0
"CD006023_pub4_data","10::overall",10,"overall","Hospitalisation","RD","RD",FALSE,-0.0012860491676118,-0.0012860491676118,-0.0437973508643752,0.0412252525291516,-0.0437973508643752,0.0412252525291516,10,5,0
"CD006023_pub4_data","11::overall",11,"overall","Fracture","RD","RD",FALSE,0.000193714885864489,0.000193714885864489,-0.00849205626286838,0.00887948603459736,-0.00849205626286838,0.00887948603459736,14,8,0
"CD006023_pub4_data","12::overall",12,"overall","Pruritus","RD","RD",FALSE,-0.00221588563914868,-0.00221588563914868,-0.0203575949018799,0.0159258236235825,-0.0203575949018799,0.0159258236235825,13,4,0
"CD006023_pub4_data","13::overall",13,"overall","Vomiting","RD","RD",FALSE,0.0313075593171887,0.0313075593171887,0.00110703441179458,0.0615080842225828,0.00110703441179458,0.0615080842225828,16,11,0
"CD006023_pub4_data","14::overall",14,"overall","Abdominal pain","RD","RD",FALSE,-0.0178495422418454,-0.0178495422418454,-0.0514536195439958,0.0157545350603051,-0.0514536195439958,0.0157545350603051,16,10,0
"CD006023_pub4_data","15::overall",15,"overall","Diarrhoea","RD","RD",FALSE,0.0333956818853528,0.0333956818853528,-0.0182210158625799,0.0850123796332856,-0.0182210158625799,0.0850123796332856,11,7,0
"CD006023_pub4_data","16::overall",16,"overall","Abdominal bloating","RD","RD",FALSE,-0.0130840267890251,-0.0130840267890251,-0.0390550734893067,0.0128870199112566,-0.0390550734893067,0.0128870199112566,8,6,0
"CD006023_pub4_data","17::overall",17,"overall","Kidney failure","RD","RD",FALSE,0.000351764243032633,0.000351764243032633,-0.00986299052444296,0.0105665190105082,-0.00986299052444296,0.0105665190105082,18,15,0
"CD006023_pub4_data","18::overall",18,"overall","Start dialysis","RD","RD",FALSE,-0.0226367824523829,-0.0226367824523829,-0.0453545836763529,8.10187715870048e-05,-0.0453545836763529,8.10187715870048e-05,34,33,0
"CD006023_pub4_data","19::overall",19,"overall","Serum calcium","RD","RD",FALSE,0.0219003692705481,0.0219003692705481,0.00147593244492976,0.0423248060961664,0.00147593244492976,0.0423248060961664,30,29,0
"CD006023_pub4_data","2::1",2,"1","Death (all causes): CKD GFR category","RD","RD",FALSE,-0.0600418774394074,-0.0600418774394074,-0.124408754658315,0.00432499977950015,-0.124408754658315,0.00432499977950015,5,4,0
"CD006023_pub4_data","2::2",2,"2","Death (all causes): CKD GFR category","RD","RD",FALSE,-0.0418647164139501,-0.0418647164139501,-0.0930785180548958,0.0093490852269956,-0.0930785180548958,0.0093490852269956,16,9,0
"CD006023_pub4_data","2::overall",2,"overall","Cardiovascular death","RD","RD",FALSE,0.0124479124715809,0.0124479124715809,-0.0106827046551672,0.0355785295983291,-0.0106827046551672,0.0355785295983291,41,28,0
"CD006023_pub4_data","20::overall",20,"overall","Serum calcium-by-phosphate product","RD","RD",FALSE,0.00379676000894375,0.00379676000894375,-0.0372087289734208,0.0448022489913083,-0.0372087289734208,0.0448022489913083,30,30,0
"CD006023_pub4_data","21::overall",21,"overall","Serum iPTH","RD","RD",FALSE,-0.0184698347520748,-0.0184698347520748,-0.0781818335229073,0.0412421640187578,-0.0781818335229073,0.0412421640187578,14,14,0
"CD006023_pub4_data","22::overall",22,"overall","Serum alkaline phosphatase","OR_cc","RD",TRUE,-0.383656052760919,NA,-1.17499027946431,0.407678173942468,NA,NA,17,17,NA
"CD006023_pub4_data","23::overall",23,"overall","Serum bicarbonate","OR_cc","RD",TRUE,0.0687661975171445,NA,-0.766091906813387,0.903624301847676,NA,NA,13,13,NA
"CD006023_pub4_data","24::overall",24,"overall","eGFR","OR_cc","RD",TRUE,-0.373708624845073,NA,-1.1021884239898,0.354771174299652,NA,NA,7,7,NA
"CD006023_pub4_data","25::overall",25,"overall","Bone mineral density: lumbar spine","OR_cc","RD",TRUE,0.432809773303593,NA,-0.420452744457754,1.28607229106494,NA,NA,5,5,NA
"CD006023_pub4_data","26::overall",26,"overall","Bone mineral density: hip","OR_cc","RD",TRUE,-0.76664341905099,NA,-1.92472384546997,0.391437007367989,NA,NA,1,1,NA
"CD006023_pub4_data","3::1",3,"1","Death (all causes): study duration","RD","RD",FALSE,0.0175686825507477,0.0175686825507477,-0.0134079062753203,0.0485452713768156,-0.0134079062753203,0.0485452713768156,8,4,0
"CD006023_pub4_data","3::2",3,"2","Death (all causes): study duration","RD","RD",FALSE,-0.085701900865243,-0.085701900865243,-0.155414897707676,-0.0159889040228102,-0.155414897707676,-0.0159889040228102,3,2,0
"CD006023_pub4_data","3::overall",3,"overall","Hypercalcaemia","RD","RD",FALSE,-0.0822758955972316,-0.0822758955972316,-0.129056585112002,-0.0354952060824611,-0.129056585112002,-0.0354952060824611,26,13,0
"CD006023_pub4_data","4::1",4,"1","Cardiovascular death: age","RD","RD",FALSE,-0.0439236260848825,-0.0439236260848825,-0.16573558832332,0.0778883361535549,-0.16573558832332,0.0778883361535549,2,1,0
"CD006023_pub4_data","4::2",4,"2","Cardiovascular death: age","RD","RD",FALSE,0.009598422616735,0.009598422616735,-0.0316760424342792,0.0508728876677492,-0.0316760424342792,0.0508728876677492,6,4,0
"CD006023_pub4_data","4::overall",4,"overall","Nausea","RD","RD",FALSE,0.0348599904135421,0.0348599904135421,0.0127382893229518,0.0569816915041324,0.0127382893229518,0.0569816915041324,28,14,0
"CD006023_pub4_data","5::1",5,"1","Cardiovascular death: CKD GFR category","OR_cc","RD",TRUE,0.70338256343686,NA,-1.79730534980637,3.20407047668009,NA,NA,2,1,NA
"CD006023_pub4_data","5::2",5,"2","Cardiovascular death: CKD GFR category","RD","RD",FALSE,-0.0521166914908845,-0.0521166914908845,-0.111352514665089,0.00711913168332027,-0.111352514665089,0.00711913168332027,8,7,0
"CD006023_pub4_data","5::overall",5,"overall","Constipation","RD","RD",FALSE,0.0212961614760581,0.0212961614760581,0.00574600770482712,0.0368463152472891,0.00574600770482712,0.0368463152472891,37,25,0
"CD006023_pub4_data","6::1",6,"1","Cardiovascular death: study duration","RD","RD",FALSE,0.0163959741297871,0.0163959741297871,-0.0165525420437533,0.0493444903033274,-0.0165525420437533,0.0493444903033274,7,5,0
"CD006023_pub4_data","6::2",6,"2","Cardiovascular death: study duration","RD","RD",FALSE,-0.0608846851657871,-0.0608846851657871,-0.129246240506397,0.00747687017482292,-0.129246240506397,0.00747687017482292,3,3,0
"CD006023_pub4_data","6::overall",6,"overall","Serum phosphate [mg/dL]","RD","RD",FALSE,-0.001546613423773,-0.001546613423773,-0.0113712646604997,0.00827803781295366,-0.0113712646604997,0.00827803781295366,62,54,0
"CD006023_pub4_data","7::overall",7,"overall","Coronary artery calcium score","RD","RD",FALSE,0.0189715124189477,0.0189715124189477,-0.00327547205135776,0.0412184968892532,-0.00327547205135776,0.0412184968892532,21,11,0
"CD006023_pub4_data","8::overall",8,"overall","Myocardial infarction","RD","RD",FALSE,0.00583834174464151,0.00583834174464151,-0.00947740629813628,0.0211540897874193,-0.00947740629813628,0.0211540897874193,23,10,0
"CD006023_pub4_data","9::overall",9,"overall","Stroke","RD","RD",FALSE,-0.0357945469907178,-0.0357945469907178,-0.0779559347236121,0.0063668407421766,-0.0779559347236121,0.0063668407421766,14,6,0
