"dataset","source","term"
"CD002115_pub6_data","Analysis.name","Mean number of FI episodes (continuous)"
"CD002115_pub6_data","Analysis.name","Mean time spent per week on bowel care (continuous)"
"CD002115_pub6_data","Analysis.name","Number of participants with adverse effects (dichotomous)"
"CD002115_pub6_data","Subgroup","Assessment-based nursing intervention"
"CD002115_pub6_data","Subgroup","Holistic nursing "
"CD002115_pub6_data","Subgroup","One-off nursing assessment"
"CD002115_pub6_data","Subgroup","Probiotics"
"CD002115_pub6_data","Subgroup","Individual cognitive function training"
"CD002115_pub6_data","Subgroup","Bowel training and posture"
"CD002115_pub6_data","Subgroup","Holistic nursing"
"CD002115_pub6_data","Subgroup","Nurse assessment"
"CD002115_pub6_data","Subgroup","FMT"
"CD002115_pub6_data","Subgroup","Transanal irrigation"
"CD002115_pub6_data","Subgroup","Standing intervention"
"CD002115_pub6_data","Subgroup","Abdominal massage"
"CD002115_pub6_data","Subgroup","Osteopathic manipulative treatment"
"CD002115_pub6_data","Subgroup","Parkinson's disease"
"CD002115_pub6_data","Subgroup","Multiple sclerosis"
"CD002115_pub6_data","Subgroup","Spinal cord injury"
"CD002115_pub6_data","Subgroup","Spina bifida"
"CD002115_pub6_data","Subgroup","Massage therapy"
"CD002122_pub3_data","Analysis.group","1"
"CD002122_pub3_data","Analysis.group","2"
"CD002122_pub3_data","Analysis.group","3"
"CD002122_pub3_data","Analysis.group","4"
"CD002122_pub3_data","Analysis.group","5"
"CD002122_pub3_data","Analysis.group","6"
"CD002122_pub3_data","Analysis.group","7"
"CD002122_pub3_data","Analysis.group","8"
"CD002122_pub3_data","Analysis.group","9"
"CD002122_pub3_data","Analysis.group","10"
"CD002122_pub3_data","Analysis.group","11"
"CD002122_pub3_data","Analysis.group","12"
"CD002122_pub3_data","Analysis.group","13"
"CD002122_pub3_data","Analysis.group","14"
"CD002122_pub3_data","Analysis.name","Pain (visual analogue scale)&nbsp;"
"CD002122_pub3_data","Analysis.name","Pain (4-point verbal rating scale)"
"CD002122_pub3_data","Analysis.name","Pain (dichotomous)"
"CD002122_pub3_data","Analysis.name","Assessment of implant (continuous scale)"
"CD002122_pub3_data","Analysis.name","Assessment of implant (dichotomous)"
"CD002122_pub3_data","Analysis.name","Quality of life"
"CD002122_pub3_data","Analysis.name","Adverse effects"
"CD002122_pub3_data","Analysis.name","Pain (visual analogue scale)"
"CD002122_pub3_data","Analysis.name","Patient satisfaction"
"CD002122_pub3_data","Analysis.name","Assessment of implant (continuous)"
"CD002122_pub3_data","Analysis.name","Assessment of implant"
"CD002122_pub3_data","Analysis.name","Pain (4-point verbal scale)"
"CD002122_pub3_data","Analysis.name","Patient satisfaction (dichotomous)"
"CD002122_pub3_data","Subgroup","Overall pain (6 months)"
"CD002122_pub3_data","Subgroup","Pelvic pain (6 months)"
"CD002122_pub3_data","Subgroup","Pelvic pain (12 months)"
"CD002122_pub3_data","Subgroup","Pelvic pain (24 months)"
"CD002122_pub3_data","Subgroup","Dysmenorrhoea (24 months)"
"CD002122_pub3_data","Subgroup","Dyspareunia (3 months)"
"CD002122_pub3_data","Subgroup","Dyspareunia (6 months)"
"CD002122_pub3_data","Subgroup","Overall pain (3 months)"
"CD002122_pub3_data","Subgroup","Overall pain (12 months)"
"CD002122_pub3_data","Subgroup","Pelvic pain (3 months)"
"CD002122_pub3_data","Subgroup","Change in overall pain score at 12 months"
"CD002122_pub3_data","Subgroup","Dysmenorrhoea (3 months)"
"CD002122_pub3_data","Subgroup","Painful defecation (3 months)"
"CD002122_pub3_data","Subgroup","Painful defecation (6 months)"
"CD002122_pub3_data","Subgroup","Painful urination (3 months)"
"CD002122_pub3_data","Subgroup","Painful urination (6 months)"
"CD002122_pub3_data","Subgroup","American Fertility Society score"
"CD002122_pub3_data","Subgroup","Change in American Fertility Society score"
"CD002122_pub3_data","Subgroup","SF-36 (3 months)"
"CD002122_pub3_data","Subgroup","SF-36 (6 months)"
"CD002122_pub3_data","Subgroup","WHOQOL-BREF (3 months)"
"CD002122_pub3_data","Subgroup","WHOQOL-BREF (6 months)"
"CD002122_pub3_data","Subgroup","Study withdrawal due to side effects"
"CD002122_pub3_data","Subgroup","Any side effects"
"CD002122_pub3_data","Subgroup","Acne/greasy skin/seborrhoea"
"CD002122_pub3_data","Subgroup","Oedema"
"CD002122_pub3_data","Subgroup","Muscle cramps/joint pains"
"CD002122_pub3_data","Subgroup","Irregular bleeding including spotting/breakthrough bleeding/genital bleeding"
"CD002122_pub3_data","Subgroup","Amenorrhoea"
"CD002122_pub3_data","Subgroup","Breast Pain/tension"
"CD002122_pub3_data","Subgroup","Vaginal discharge"
"CD002122_pub3_data","Subgroup","Dermatitis/skin rash/itching"
"CD002122_pub3_data","Subgroup","Hair loss"
"CD002122_pub3_data","Subgroup","Hot flushes"
"CD002122_pub3_data","Subgroup","Headache/migraine"
"CD002122_pub3_data","Subgroup","Nausea/vomiting/bloating"
"CD002122_pub3_data","Subgroup","Drowsiness/tiredness/asthenia"
"CD002122_pub3_data","Subgroup","Mood changes/depression/irritability"
"CD002122_pub3_data","Subgroup","Paraesthesia"
"CD002122_pub3_data","Subgroup","Backache"
"CD002122_pub3_data","Subgroup","Skin dryness"
"CD002122_pub3_data","Subgroup","Dysmenorrhoea (6 months)"
"CD002122_pub3_data","Subgroup","Irregular bleeding"
"CD002122_pub3_data","Subgroup","Breast pain"
"CD002122_pub3_data","Subgroup","Nausea/vomiting"
"CD002122_pub3_data","Subgroup","Drowsiness/tiredness"
"CD002122_pub3_data","Subgroup","Back pain"
"CD002122_pub3_data","Subgroup","Meteorism"
"CD002122_pub3_data","Subgroup","Painful defecation"
"CD002122_pub3_data","Subgroup","Breast pain/tension"
"CD002122_pub3_data","Subgroup","Weight gain"
"CD002122_pub3_data","Subgroup","Dysmenorrhoea (12 months)"
"CD002122_pub3_data","Subgroup","Dyspareunia (12 months)"
"CD002122_pub3_data","Subgroup","Painful defecation (12 months)"
"CD002122_pub3_data","Subgroup","SF-36 physical functioning (6 months)"
"CD002122_pub3_data","Subgroup","SF-36 pain (6 months)"
"CD002122_pub3_data","Subgroup","SF-36 general health perception (6 months)"
"CD002122_pub3_data","Subgroup","Hospital Anxiety and Depression Scale (6 months)"
"CD002122_pub3_data","Subgroup","Revised Sabbatsberg Sexual Rating Scale (6 months)"
"CD002122_pub3_data","Subgroup","Decreased libido"
"CD002122_pub3_data","Subgroup","Dermatitis"
"CD002122_pub3_data","Subgroup","Acne"
"CD002122_pub3_data","Subgroup","Headache"
"CD002122_pub3_data","Subgroup","Nausea (listed separate from bloating)"
"CD002122_pub3_data","Subgroup","Mood changes"
"CD002122_pub3_data","Subgroup","Hypertriglyceridemia"
"CD002122_pub3_data","Subgroup","Bloating (listed separate from nausea)"
"CD002122_pub3_data","Subgroup","Sleep disorder/insomnia"
"CD002122_pub3_data","Subgroup","Fatigue"
"CD002122_pub3_data","Subgroup","Spotting"
"CD002122_pub3_data","Subgroup","Breakthrough bleeding"
"CD002122_pub3_data","Subgroup","Depression"
"CD002122_pub3_data","Subgroup","Irritability"
"CD002122_pub3_data","Subgroup","Vaginal dryness"
"CD002122_pub3_data","Subgroup","Overall pain (6 months – change from baseline)"
"CD002122_pub3_data","Subgroup","Pelvic pain (6 months – change from baseline)"
"CD002122_pub3_data","Subgroup","Dysmenorrhoea (6 months – change from baseline)"
"CD002122_pub3_data","Subgroup","Dyspareunia (6 months – change from baseline)"
"CD002122_pub3_data","Subgroup","Change in endometrioma size"
"CD002122_pub3_data","Subgroup","FertiQoL (3 months)"
"CD002122_pub3_data","Subgroup","SF-36 physical health (6 months)"
"CD002122_pub3_data","Subgroup","SF-36 improvement in physical health (6 months)"
"CD002122_pub3_data","Subgroup","SF-36 mental health (6 months)"
"CD002122_pub3_data","Subgroup","SF-36 improvement in mental health (6 months)"
"CD002122_pub3_data","Subgroup","Patient satisfaction (6 months)"
"CD002122_pub3_data","Subgroup","Any side effects (cumulative)"
"CD002122_pub3_data","Subgroup","Joint pain/muscle cramps"
"CD002122_pub3_data","Subgroup","Sweating problems"
"CD002122_pub3_data","Subgroup","Allergic reaction"
"CD002122_pub3_data","Subgroup","Dizziness/faintness"
"CD002122_pub3_data","Subgroup","Nausea"
"CD002122_pub3_data","Subgroup","Hirsutism/hypertrichosis"
"CD002122_pub3_data","Subgroup","Cramping/bloating"
"CD002122_pub3_data","Subgroup","American Fertility Society score (12 months)"
"CD002122_pub3_data","Subgroup","Muscle cramps"
"CD002122_pub3_data","Subgroup","Patient satisfaction (3 months)"
"CD002122_pub3_data","Subgroup","Patient satisfaction (9 months)"
"CD002122_pub3_data","Subgroup","Patient satisfaction (12 months)"
"CD002122_pub3_data","Subgroup","Patients satisfaction (15 months)"
"CD002122_pub3_data","Subgroup","Breakthrough bleeding/spotting"
"CD002122_pub3_data","Subgroup","Injection site reaction"
"CD002122_pub3_data","Subgroup","Severe adverse effect"
"CD002122_pub3_data","Subgroup","Overall pain (9 months)"
"CD002122_pub3_data","Subgroup","Overall pain (18 months)"
"CD002122_pub3_data","Subgroup","Overall pain (24 months)"
"CD002122_pub3_data","Subgroup","Overall pain (30 months)"
"CD002122_pub3_data","Subgroup","Overall pain (36 months)"
"CD002122_pub3_data","Subgroup","Dyspareunia (24 months)"
"CD002122_pub3_data","Subgroup","Dyspareunia (30 months)"
"CD002122_pub3_data","Subgroup","Patient satisfied or very satisfied (6 months)"
"CD002122_pub3_data","Subgroup","Mood changes/depression/ irritability"
"CD002122_pub3_data","Subgroup","Therapy-resistant dysmenorrhoea"
"CD002122_pub3_data","Subgroup","Therapy-resistant pelvic pain"
"CD002122_pub3_data","Subgroup","Moderate or severe side effects"
"CD002203_pub5_data","Analysis.group","1"
"CD002203_pub5_data","Analysis.group","2"
"CD002203_pub5_data","Analysis.group","3"
"CD002203_pub5_data","Analysis.name","FEV1 % predicted (mean change from baseline)"
"CD002203_pub5_data","Analysis.name","FVC % predicted (percentage change from baseline)"
"CD002203_pub5_data","Analysis.name","Number free of pulmonary exacerbation"
"CD002203_pub5_data","Analysis.name","Time to first pulmonary exacerbation"
"CD002203_pub5_data","Analysis.name","Adverse effects of antibiotic treatment"
"CD002203_pub5_data","Analysis.name","Serious adverse events"
"CD002203_pub5_data","Analysis.name","Admission to hospital"
"CD002203_pub5_data","Analysis.name","Number of days in hospital"
"CD002203_pub5_data","Analysis.name","Acquisition of Pseudomonas aeruginosa"
"CD002203_pub5_data","Analysis.name","Acquisition of Staphylococcal aureus"
"CD002203_pub5_data","Analysis.name","Eradication of Staphylococcal aureus present at baseline"
"CD002203_pub5_data","Analysis.name","Acquisition of macrolide-resistant Staphylococcal aureus"
"CD002203_pub5_data","Analysis.name","Acquisition of meticillin-resistant Staphylococcus aureus (MRSA)"
"CD002203_pub5_data","Analysis.name","Acquisition of Haemophilus influenzae"
"CD002203_pub5_data","Analysis.name","Acquisition of macrolide-resistant Haemophilus influenzae"
"CD002203_pub5_data","Analysis.name","Acquisition of non-tuberculous mycobacterium"
"CD002203_pub5_data","Analysis.name","Need for additional oral antibiotics"
"CD002203_pub5_data","Analysis.name","Number of courses of oral antibiotics"
"CD002203_pub5_data","Analysis.name","Number of days of additional oral antibiotics"
"CD002203_pub5_data","Analysis.name","Need for intravenous antibiotics"
"CD002203_pub5_data","Analysis.name","Number of courses of intravenous antibiotics"
"CD002203_pub5_data","Analysis.name","Number of days of intravenous antibiotics"
"CD002203_pub5_data","Analysis.name","Development of allergic bronchopulmonary aspergillosis"
"CD002203_pub5_data","Analysis.name","Change in BMI z score"
"CD002203_pub5_data","Analysis.name","Mean BMI score at 3 years of age"
"CD002203_pub5_data","Analysis.name","Change in weight (kg) from baseline"
"CD002203_pub5_data","Analysis.name","Change in total quality of life score (CFQ-R)"
"CD002203_pub5_data","Analysis.name","Change in physical domain of CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in respiratory symptom domain of CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in psychosocial domain of CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in body image domain of CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in eating disorder domain of CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in problems with body weight domain of the CFQ-R QoL score"
"CD002203_pub5_data","Analysis.name","Change in inflammatory markers: IL-8 pg/mL"
"CD002203_pub5_data","Analysis.name","Change in inflammatory markers: neutrophil elastase µg/mL"
"CD002203_pub5_data","Analysis.name","Change in CRP"
"CD002203_pub5_data","Analysis.name","Pulmonary exacerbation rate (per child, per month)"
"CD002203_pub5_data","Analysis.name","Weight (kg) absolute values"
"CD002203_pub5_data","Analysis.name","Relative change in FEV1 (% predicted)"
"CD002203_pub5_data","Analysis.name","Days to first pulmonary exacerbation"
"CD002203_pub5_data","Analysis.name","Adverse events"
"CD002203_pub5_data","Analysis.name","Days in hospital"
"CD002203_pub5_data","Analysis.name","Number of hospital admissions"
"CD002203_pub5_data","Analysis.name","Acquisition of azithromycin-resistant Staphylococcal aureus"
"CD002203_pub5_data","Subgroup","at 1 month"
"CD002203_pub5_data","Subgroup","at 2 months"
"CD002203_pub5_data","Subgroup","at 3 months"
"CD002203_pub5_data","Subgroup","at 4 months"
"CD002203_pub5_data","Subgroup","at 6 months"
"CD002203_pub5_data","Subgroup","at 8 months"
"CD002203_pub5_data","Subgroup","at 10 months"
"CD002203_pub5_data","Subgroup","at 12 months"
"CD002203_pub5_data","Subgroup","Nausea"
"CD002203_pub5_data","Subgroup","Diarrhoea"
"CD002203_pub5_data","Subgroup","Wheezing"
"CD002203_pub5_data","Subgroup","Cough"
"CD002203_pub5_data","Subgroup","Productive cough"
"CD002203_pub5_data","Subgroup","Sore throat"
"CD002203_pub5_data","Subgroup","Constipation"
"CD002203_pub5_data","Subgroup","Respiratory, thoracic and mediastinal disorders"
"CD002203_pub5_data","Subgroup","Any adverse events occuring during the study"
"CD002203_pub5_data","Subgroup","Decreased lung function"
"CD002203_pub5_data","Subgroup","Decreased appetite"
"CD002203_pub5_data","Subgroup","Increased sputum"
"CD002203_pub5_data","Subgroup","Rhinorrhoea"
"CD002203_pub5_data","Subgroup","Headache"
"CD002203_pub5_data","Subgroup","Abdominal pain"
"CD002203_pub5_data","Subgroup","Fever"
"CD002203_pub5_data","Subgroup","Fatigue"
"CD002203_pub5_data","Subgroup","Dyspnea"
"CD002203_pub5_data","Subgroup","Nasal congestion"
"CD002203_pub5_data","Subgroup","Hemoptysis"
"CD002203_pub5_data","Subgroup","Dizziness (except vertigo)"
"CD002203_pub5_data","Subgroup","Vomiting"
"CD002203_pub5_data","Subgroup","Hearing impairment"
"CD002203_pub5_data","Subgroup","Tinnitus"
"CD002203_pub5_data","Subgroup","Pulmonary congestion"
"CD002203_pub5_data","Subgroup","Rash"
"CD002203_pub5_data","Subgroup","Overall serious adverse events"
"CD002203_pub5_data","Subgroup","DIOS"
"CD002203_pub5_data","Subgroup","After 6 months"
"CD002203_pub5_data","Subgroup","At 6 weeks"
"CD002203_pub5_data","Subgroup","At 18 months"
"CD002203_pub5_data","Subgroup","after 6 months"
"CD002203_pub5_data","Subgroup","after 12 months"
"CD002203_pub5_data","Subgroup","At 36 months"
"CD002203_pub5_data","Subgroup","after 2 months"
"CD002203_pub5_data","Subgroup","after 18 months"
"CD002203_pub5_data","Subgroup","After 18 months"
"CD002203_pub5_data","Subgroup","After 6 weeks"
"CD002203_pub5_data","Subgroup","After 12 months"
"CD002203_pub5_data","Subgroup","after 36 months"
"CD002203_pub5_data","Subgroup","After 2 months"
"CD002203_pub5_data","Subgroup","Baseline to 6 months"
"CD002203_pub5_data","Subgroup","At 3 months"
"CD002203_pub5_data","Subgroup","At 6 months"
"CD002203_pub5_data","Subgroup","Gastrointestinal"
"CD002203_pub5_data","Subgroup","Abnormal liver transaminases"
"CD002203_pub5_data","Subgroup","Total adverse events"
"CD002203_pub5_data","Subgroup","Study withdrawal"
"CD002243_pub5_data","Analysis.group","1"
"CD002243_pub5_data","Analysis.group","2"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality - sensitivity analysis based on methodological quality"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality by subgroups based on study drug"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality by subgroups based on treatment dose/duration"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality based on mode of drug administration"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality based on mode of drug termination"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality by subgroups based on age"
"CD002243_pub5_data","Analysis.name","28-day all-cause mortality by subgroups based on targeted population"
"CD002243_pub5_data","Analysis.name","28-day mortality in participants with versus without critical illness-related corticosteroid insufficiency"
"CD002243_pub5_data","Analysis.name","Long-term mortality"
"CD002243_pub5_data","Analysis.name","Hospital mortality"
"CD002243_pub5_data","Analysis.name","90-day all-cause mortality"
"CD002243_pub5_data","Analysis.name","Intensive care unit mortality"
"CD002243_pub5_data","Analysis.name","Length of intensive care unit stay for all participants"
"CD002243_pub5_data","Analysis.name","Length of intensive care unit stay for survivors"
"CD002243_pub5_data","Analysis.name","Length of hospital stay for all participants"
"CD002243_pub5_data","Analysis.name","Length of hospital stay for survivors"
"CD002243_pub5_data","Analysis.name","Number of participants with shock reversal at day 7"
"CD002243_pub5_data","Analysis.name","Number of participants with shock reversal at 28 days"
"CD002243_pub5_data","Analysis.name","SOFA score at day 7"
"CD002243_pub5_data","Analysis.name","Number of participants with adverse events"
"CD002243_pub5_data","Analysis.name","Number of participants with shock reversal at day 28"
"CD002243_pub5_data","Subgroup","Adequate generation of allocation sequence"
"CD002243_pub5_data","Subgroup","Adequate allocation concealment"
"CD002243_pub5_data","Subgroup","Blinded trials"
"CD002243_pub5_data","Subgroup","Studies judged at low risk of bias"
"CD002243_pub5_data","Subgroup","Hydrocortisone"
"CD002243_pub5_data","Subgroup","Hydrocortisone plus fludrocortisone"
"CD002243_pub5_data","Subgroup","Prednisone/prednisolone"
"CD002243_pub5_data","Subgroup","Methylprednisolone"
"CD002243_pub5_data","Subgroup","Dexamethasone"
"CD002243_pub5_data","Subgroup","Hydrocortisone plus vitamin C plus thiamine"
"CD002243_pub5_data","Subgroup","Long course of low-dose corticosteroids"
"CD002243_pub5_data","Subgroup","Short course of high-dose corticosteroids"
"CD002243_pub5_data","Subgroup","Intravenous bolus"
"CD002243_pub5_data","Subgroup","Continuous infusion"
"CD002243_pub5_data","Subgroup","Without taper off"
"CD002243_pub5_data","Subgroup","With taper off"
"CD002243_pub5_data","Subgroup","Adults"
"CD002243_pub5_data","Subgroup","Children"
"CD002243_pub5_data","Subgroup","Sepsis"
"CD002243_pub5_data","Subgroup","Septic shock only"
"CD002243_pub5_data","Subgroup","Sepsis and ARDS"
"CD002243_pub5_data","Subgroup","Sepsis and community-acquired pneumonia"
"CD002243_pub5_data","Subgroup","COVID-19"
"CD002243_pub5_data","Subgroup","Patients with critical illness associated with corticosteroid insufficiency"
"CD002243_pub5_data","Subgroup","Patients without critical illness associated with corticosteroid insufficiency"
"CD002243_pub5_data","Subgroup","Gastroduodenal bleeding"
"CD002243_pub5_data","Subgroup","Superinfection"
"CD002243_pub5_data","Subgroup","Hyperglycaemia"
"CD002243_pub5_data","Subgroup","Hypernatraemia"
"CD002243_pub5_data","Subgroup","Muscle weakness"
"CD002243_pub5_data","Subgroup","Neuropsychiatric event"
"CD002243_pub5_data","Subgroup","Stroke"
"CD002243_pub5_data","Subgroup","Cardiac event"
"CD002243_pub5_data","Subgroup","Gastrointestinal bleeding"
"CD002290_pub6_data","Analysis.group","1"
"CD002290_pub6_data","Analysis.group","2"
"CD002290_pub6_data","Analysis.group","3"
"CD002290_pub6_data","Analysis.group","4"
"CD002290_pub6_data","Analysis.group","5"
"CD002290_pub6_data","Analysis.group","6"
"CD002290_pub6_data","Analysis.group","7"
"CD002290_pub6_data","Analysis.group","8"
"CD002290_pub6_data","Analysis.group","9"
"CD002290_pub6_data","Analysis.group","10"
"CD002290_pub6_data","Analysis.group","11"
"CD002290_pub6_data","Analysis.group","12"
"CD002290_pub6_data","Analysis.group","13"
"CD002290_pub6_data","Analysis.group","14"
"CD002290_pub6_data","Analysis.group","15"
"CD002290_pub6_data","Analysis.group","16"
"CD002290_pub6_data","Analysis.group","17"
"CD002290_pub6_data","Analysis.group","18"
"CD002290_pub6_data","Analysis.group","19"
"CD002290_pub6_data","Analysis.group","20"
"CD002290_pub6_data","Analysis.group","21"
"CD002290_pub6_data","Analysis.group","22"
"CD002290_pub6_data","Analysis.group","23"
"CD002290_pub6_data","Analysis.group","24"
"CD002290_pub6_data","Analysis.group","25"
"CD002290_pub6_data","Analysis.group","26"
"CD002290_pub6_data","Analysis.group","27"
"CD002290_pub6_data","Analysis.group","28"
"CD002290_pub6_data","Analysis.name","Relapse"
"CD002290_pub6_data","Analysis.name","Adverse events"
"CD002290_pub6_data","Analysis.name","Relapse at 12 months"
"CD002290_pub6_data","Analysis.name","Relapse by 12 months"
"CD002290_pub6_data","Analysis.name","Relapse rate"
"CD002290_pub6_data","Analysis.name","Infection rate"
"CD002290_pub6_data","Analysis.name","Relapse/treatment failure during MMF therapy (to 505 days)"
"CD002290_pub6_data","Analysis.name","Relapse rate with RTX during MMF therapy (to 505 days)"
"CD002290_pub6_data","Analysis.name","Steroid dose during MMF therapy (to 505 days) [mg/m2/day]"
"CD002290_pub6_data","Analysis.name","Relapse/treatment failure during entire study"
"CD002290_pub6_data","Analysis.name","Relapse rate/year"
"CD002290_pub6_data","Analysis.name","GFR at 12 months [mL/min]"
"CD002290_pub6_data","Analysis.name","Alopecia"
"CD002290_pub6_data","Analysis.name","Mean relapse rate/patient/month"
"CD002290_pub6_data","Analysis.name","Relapse during treatment according to risk of bias"
"CD002290_pub6_data","Analysis.name","Number with FRNS or SDNS"
"CD002290_pub6_data","Analysis.name","Sustained remission"
"CD002290_pub6_data","Analysis.name","Treatment failure"
"CD002290_pub6_data","Analysis.name","Serious adverse events"
"CD002290_pub6_data","Analysis.name","Infrequent or no relapses at 12 months"
"CD002290_pub6_data","Analysis.name","Number needing cytotoxic agents"
"CD002290_pub6_data","Analysis.name","Creatinine at end of study [µmol/L]"
"CD002290_pub6_data","Analysis.name","Remission"
"CD002290_pub6_data","Analysis.name","Overall reduction in prednisone dose"
"CD002290_pub6_data","Analysis.name","Changing versus fixed dose: relapse"
"CD002290_pub6_data","Analysis.name","Changing versus fixed dose: adverse events"
"CD002290_pub6_data","Analysis.name","High versus lower CSA target level: 2-year outcomes"
"CD002290_pub6_data","Analysis.name","High versus lower CSA target level: adverse effects"
"CD002290_pub6_data","Analysis.name","Relapse rate "
"CD002290_pub6_data","Analysis.name","Cumulative prednisone dose [mg]"
"CD002290_pub6_data","Analysis.name","Relapse at 6 to 12 months"
"CD002290_pub6_data","Analysis.name","Relapse at 12 to 24 months"
"CD002290_pub6_data","Analysis.name","Leucopenia"
"CD002290_pub6_data","Analysis.name","Relapse at 24 months"
"CD002290_pub6_data","Analysis.name","Continuing frequently relapsing or steroid dependent SSNS at 6 months"
"CD002290_pub6_data","Analysis.name","Relapse at 6 months"
"CD002290_pub6_data","Subgroup","6 months"
"CD002290_pub6_data","Subgroup","12 months"
"CD002290_pub6_data","Subgroup","3 months"
"CD002290_pub6_data","Subgroup","Moderate to severe infusion reactions"
"CD002290_pub6_data","Subgroup","Severe infection"
"CD002290_pub6_data","Subgroup","Arthropathy"
"CD002290_pub6_data","Subgroup","Cytopenia"
"CD002290_pub6_data","Subgroup","Acute kidney injury"
"CD002290_pub6_data","Subgroup","Infection"
"CD002290_pub6_data","Subgroup","Gastrointestinal disorders"
"CD002290_pub6_data","Subgroup","Infections"
"CD002290_pub6_data","Subgroup","Neutropenia"
"CD002290_pub6_data","Subgroup","24 months"
"CD002290_pub6_data","Subgroup","Adverse events (neutropenia, articular pain) within 6 months"
"CD002290_pub6_data","Subgroup","Adverse events related to infusion"
"CD002290_pub6_data","Subgroup","Relapses at 12 months"
"CD002290_pub6_data","Subgroup","Frequent relapses at 12 months"
"CD002290_pub6_data","Subgroup","Relapse by 6 months"
"CD002290_pub6_data","Subgroup","Peritonitis"
"CD002290_pub6_data","Subgroup","Abdominal pain"
"CD002290_pub6_data","Subgroup","Anaemia"
"CD002290_pub6_data","Subgroup","Leucopenia"
"CD002290_pub6_data","Subgroup","Hypertension"
"CD002290_pub6_data","Subgroup","Hypertrichosis"
"CD002290_pub6_data","Subgroup","Lymphopenia"
"CD002290_pub6_data","Subgroup","Gum hypertrophy"
"CD002290_pub6_data","Subgroup","Reduced GFR"
"CD002290_pub6_data","Subgroup","Pneumonia"
"CD002290_pub6_data","Subgroup","Diarrhoea"
"CD002290_pub6_data","Subgroup","Relapse at 6 to 12 months"
"CD002290_pub6_data","Subgroup","Relapse during treatment (4 to 12 months)"
"CD002290_pub6_data","Subgroup","ANCA positive/arthritis"
"CD002290_pub6_data","Subgroup","Studies at low risk of bias"
"CD002290_pub6_data","Subgroup","Studies at unclear or high risk of bias"
"CD002290_pub6_data","Subgroup","Frequent relapse at 1 year"
"CD002290_pub6_data","Subgroup","Any relapse"
"CD002290_pub6_data","Subgroup","Previous FRNS"
"CD002290_pub6_data","Subgroup","Previous SDNS"
"CD002290_pub6_data","Subgroup","Elevated transaminases"
"CD002290_pub6_data","Subgroup","Relapse at end of therapy"
"CD002290_pub6_data","Subgroup","Relapse at 6 to 9 months after therapy"
"CD002290_pub6_data","Subgroup","Relapse at 12 months after therapy"
"CD002290_pub6_data","Subgroup","Relapse at 24 months after therapy"
"CD002290_pub6_data","Subgroup","Abnormal liver function tests"
"CD002290_pub6_data","Subgroup","Relapse at 12 months"
"CD002290_pub6_data","Subgroup","Relapse at 6 months"
"CD002290_pub6_data","Subgroup","Relapse at 24 months"
"CD002290_pub6_data","Subgroup","Psychological disorder"
"CD002290_pub6_data","Subgroup","Obesity"
"CD002290_pub6_data","Subgroup","Hirsutism"
"CD002290_pub6_data","Subgroup","Transient elevated creatinine"
"CD002290_pub6_data","Subgroup","Gastrointestinal events"
"CD002290_pub6_data","Subgroup","Convulsions"
"CD002290_pub6_data","Subgroup","Fatigue"
"CD002290_pub6_data","Subgroup","Number with relapse"
"CD002290_pub6_data","Subgroup","Number with FRNS and SDNS"
"CD002290_pub6_data","Subgroup","Encephalopathy"
"CD002290_pub6_data","Subgroup","Renal toxicity"
"CD002290_pub6_data","Subgroup","Relapse at end of CSA therapy (6 to 9 months) "
"CD002290_pub6_data","Subgroup","Relapse after completing CSA (12 to 24 months)"
"CD002290_pub6_data","Subgroup","Serum creatinine"
"CD002290_pub6_data","Subgroup","Cyclophosphamide versus prednisone (6 or 12 months)"
"CD002290_pub6_data","Subgroup","Chlorambucil versus prednisone or placebo (at 6 months)"
"CD002290_pub6_data","Subgroup","Cyclophosphamide versus prednisone (12 to 24 months)"
"CD002290_pub6_data","Subgroup","Chlorambucil versus prednisone or placebo (at 12 months)"
"CD002290_pub6_data","Subgroup","Cyclophosphamide"
"CD002290_pub6_data","Subgroup","Chlorambucil"
"CD002290_pub6_data","Subgroup","8 weeks versus 2 weeks"
"CD002290_pub6_data","Subgroup","12 weeks versus 8 weeks"
"CD002290_pub6_data","Subgroup","Leukopenia"
"CD002290_pub6_data","Subgroup","Alopecia"
"CD002290_pub6_data","Subgroup","Gastrointestinal"
"CD002290_pub6_data","Subgroup","Genitourinary"
"CD002290_pub6_data","Subgroup","Relapse at 12 to 24 months (end of study)"
"CD002290_pub6_data","Subgroup","Hair loss"
"CD002290_pub6_data","Subgroup","All infections"
"CD002290_pub6_data","Subgroup","Nausea and vomiting"
"CD002290_pub6_data","Subgroup","Thrombocytopenia"
